,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de flores,licenciatura en kinesiología y fisiatría,2020-11-01,,chelseataylor,female,100,6200,realico,michael67@gmail.com
1,universidad de flores,ingeniería en informática,2020-12-09,,danielbrown,male,82,1633,empalme,khodges@gmail.com
2,universidad de flores,licenciatura en ciencias biológicas,2020-09-23,,johnpowell,male,54,1633,empalme,joshua48@yahoo.com
3,universidad de flores,licenciatura en ciencia y tecnología de alimentos,2020-11-03,,rachelwade,female,80,1633,empalme,jortiz@hotmail.com
4,universidad de flores,licenciatura en ciencias antropológicas,2020-09-11,,ms.amyscott,female,31,5777,adolfo rodriguez saa,dmadden@hotmail.com
5,universidad de flores,licenciatura en ciencias ambientales,2020-09-18,,davidhuber,male,70,4605,alisos  de abajo,wwebb@hotmail.com
6,universidad de flores,licenciatura en kinesiología y fisiatría,2021-01-05,,carolelliott,female,94,4605,alisos  de abajo,alison75@hotmail.com
7,universidad de flores,diseño de imagen y sonido,2020-09-06,,stevenmunoz,male,67,5381,bella vista,christopher00@yahoo.com
8,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-12-22,,timcox,male,18,5622,colonia jauregui,aliciapearson@hotmail.com
9,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-10-19,,mrs.breannaandersonmd,female,66,5622,colonia jauregui,rreilly@hotmail.com
10,universidad de flores,licenciatura en gestión de agroalimentos,2021-01-07,,claytonreynolds,male,58,5622,colonia jauregui,laura25@hotmail.com
11,universidad de flores,licenciatura en ciencias de la computación,2020-11-17,,williamjohnson,male,2,5622,colonia jauregui,destiny08@gmail.com
12,universidad de flores,licenciatura en ciencia y tecnología de alimentos,2021-01-07,,mrs.mariaacevedo,female,30,5622,colonia jauregui,ryanbrown@hotmail.com
13,universidad de flores,diseño industrial,2020-12-22,,joanndominguez,female,106,3308,candelaria,elizabeth50@hotmail.com
14,universidad de flores,contador público,2020-10-05,,dustinford,male,65,3308,candelaria,heather20@hotmail.com
15,universidad de flores,bioquímica,2020-11-20,,ianlewis,male,16,2508,armstrong,kimann@hotmail.com
