university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
univ. nacional del comahue,diseño industrial,2020-11-20,michelle,harris,female,104,7261,saladillo norte,martinezjohn@hotmail.com
univ. nacional del comahue,contador público,2020-10-31,amanda,hill,female,32,8129,17 de agosto,tyler57@hotmail.com
univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-04,jason,montes,male,97,3194,paso telegrafo,wbryant@hotmail.com
univ. nacional del comahue,agronomía,2021-01-31,ryan,davis,male,87,3328,colonia japonesa,patriciazamora@gmail.com
univ. nacional del comahue,diseño industrial,2020-12-03,sandra,burton,female,52,4500,alto del saladillo,kleinlauren@gmail.com
univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-24,rebekah,gonzales,female,43,7609,balneario la caleta,mterry@yahoo.com
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2020-10-23,laura,gibson,female,83,3087,felicia,carmenmckinney@yahoo.com
univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-09,michael,mcdonald,male,64,3000,barranquitas,benjamin45@yahoo.com
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2021-01-01,stephen,mathis,male,75,5557,caracoles,christine82@yahoo.com
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-18,timothy,gibson,male,9,6050,cuartel vii,christopherevans@gmail.com
univ. nacional del comahue,arquitectura,2020-10-11,cody,hunt,male,55,3214,estacion yerua,keith37@hotmail.com
univ. nacional del comahue,medicina,2020-12-25,bradley,miles,male,95,6331,colonia beaufort,floresrobert@yahoo.com
univ. nacional del comahue,ingeniería en informática,2020-11-19,melissa,robertson,female,29,7630,hospital necochea,josephking@gmail.com
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-09-18,jane,campbell,female,20,7311,chillar,gillespiebrian@yahoo.com
univ. nacional del comahue,licenciatura en ciencia política,2020-10-14,barbara,spears,female,51,6433,arturo vatteone,cindy96@hotmail.com
univ. nacional del comahue,diseño industrial,2020-11-05,joshua,stokes,male,75,5701,11 de mayo,jennifer73@gmail.com
univ. nacional del comahue,agronomía,2020-12-23,gary,christensen,male,29,5505,carbometal,james83@hotmail.com
univ. nacional del comahue,contador público,2020-10-13,lisa,collier,female,96,6634,alberti,casestacey@yahoo.com
univ. nacional del comahue,diseño de imagen y sonido,2020-12-09,joel,owen,male,97,6409,jose maria blanco,kevinsalas@yahoo.com
univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-06,james,petty,male,53,5521,los corredores,ethanjimenez@hotmail.com
univ. nacional del comahue,licenciatura en ciencia política,2020-10-03,miss,rachel,female,105,7221,francisco berra,sheila33@yahoo.com
univ. nacional del comahue,técnico para bioterios,2020-10-07,victoria,ford,female,90,6058,pazos kanki,danagoodwin@hotmail.com
univ. nacional del comahue,licenciatura en musicoterapia,2021-01-07,richard,morgan,male,113,8124,berraondo,odonnellgrant@hotmail.com
univ. nacional del comahue,licenciatura en musicoterapia,2020-10-05,tyler,ross,male,38,3261,centella,tanneryolanda@hotmail.com
univ. nacional del comahue,licenciatura en artes,2021-01-08,jerry,jones,male,101,1812,carlos spegazzini,irichardson@yahoo.com
univ. nacional del comahue,licenciatura en sociología,2020-11-25,latasha,cook,female,35,1665,jose clemente paz,derek68@gmail.com
univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-24,susan,wallace,female,19,2828,colonia nueva montevideo,lauren17@gmail.com
univ. nacional del comahue,actuario,2020-09-29,kelsey,powell,female,10,4618,abra de pives,richardstrevor@hotmail.com
univ. nacional del comahue,licenciatura en ciencia política,2020-11-29,ana,key,female,45,6616,castilla,ramossteven@gmail.com
univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-11-12,renee,day,female,40,9001,cañadon ferrais,wblack@gmail.com
univ. nacional del comahue,ingeniería en informática,2020-10-19,timothy,wood,male,68,4101,agua negra,maldonadomichael@yahoo.com
univ. nacional del comahue,licenciatura en ciencias de la educación,2020-11-04,amy,hoover,female,109,3248,caraguata,hobbssabrina@gmail.com
