,university,career,inscription_date,first_name,last_name,gender,birth_date,age,location,email,postal_code
0,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,nan,jeffrey nash,male,1938-09-07,83,general rodriguez,bmorgan@hotmail.com,1748
1,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,nan,melissa reynolds,female,2004-04-15,18,cabure,jonathon04@hotmail.com,3371
2,universidad tecnológica nacional,licenciatura en sociología ,2021-01-17,nan,leonard weber,male,1936-02-05,86,mariano acosta,dmercado@yahoo.com,1723
3,universidad tecnológica nacional,arquitectura,2020-10-09,nan,danny brown,male,1972-12-22,49,remedios de escalada,lisa01@hotmail.com,1826
4,universidad tecnológica nacional,licenciatura en sociología ,2020-11-05,nan,william williams,male,1940-08-12,82,agua salada,smithemma@gmail.com,4740
5,universidad tecnológica nacional,licenciatura en sociología ,2020-10-08,nan,sierra dean,female,1977-01-09,45,colonia zapata,lhobbs@gmail.com,5436
6,universidad tecnológica nacional,ingeniería electrónica,2020-09-30,nan,jeffrey martin,male,1983-05-29,39,barrio la union,steven54@hotmail.com,4648
7,universidad tecnológica nacional,bioquímica,2020-11-05,nan,michael watkins,male,1956-10-15,65,bajo la cancha,michelle01@hotmail.com,9031
8,universidad tecnológica nacional,licenciatura en ciencia política ,2020-12-04,nan,douglas hogan,male,2008-07-29,14,puesto de isla,lynchalexis@gmail.com,3487
9,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-09,nan,nicole giles,female,2004-06-29,18,otto bemberg,susanmatthews@hotmail.com,2605
10,universidad tecnológica nacional,técnico para bioterios ,2020-10-03,nan,nicole carr,female,1909-10-08,112,el tala,robertburns@gmail.com,5304
11,universidad tecnológica nacional,ingeniería en informática,2021-01-11,nan,sandra lucas,female,1931-07-07,91,puesto de isla,joshua77@yahoo.com,3487
12,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-24,nan,nichole lee,female,1999-06-14,23,alto rio pico,jameswong@hotmail.com,9223
13,universidad tecnológica nacional,farmacia,2020-09-11,nan,hunter murillo,male,1918-09-23,103,abra de hinojo,pauljamie@yahoo.com,8170
14,universidad tecnológica nacional,bioquímica,2021-01-12,nan,jennifer allen,female,1909-10-20,112,arroyo aleli,deleontara@hotmail.com,2805
15,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,nan,debra dixon,female,1950-12-22,71,el jaguel,weaverroberto@yahoo.com,1842
16,universidad tecnológica nacional,bioquímica,2020-11-24,nan,daniel pacheco,male,2011-08-03,11,deferrari,tiffanyfisher@gmail.com,7521
17,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-03,nan,lucas villarreal,male,1931-11-22,90,barrio la luisa,joshua15@hotmail.com,7400
18,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,nan,linda bryant,female,1983-12-20,38,agua colorada,fwallace@hotmail.com,4119
19,universidad tecnológica nacional,arquitectura,2020-11-13,nan,jennifer ellis,female,1996-06-17,26,gomez,bankschristopher@yahoo.com,1983
20,universidad tecnológica nacional,licenciatura en administración ,2020-09-15,nan,jacob gibson,male,1939-12-15,82,chillar,beverlytucker@hotmail.com,7311
21,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-10-04,nan,krystal sanders,female,1922-03-13,100,el camoati,guerratracy@hotmail.com,6537
22,universidad tecnológica nacional,licenciatura en sociología ,2021-01-06,nan,david harris,male,1961-02-25,61,desvio boero,charlotte54@hotmail.com,2415
23,universidad tecnológica nacional,ciencias veterinarias,2020-09-26,nan,matthew dunn,male,1989-06-13,33,17 de agosto,rebecca25@gmail.com,3338
24,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-09,nan,thomas hernandez,male,2009-01-09,13,2 de mayo,dcooper@gmail.com,3364
25,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-03,nan,deborah mclaughlin,female,1980-05-22,42,las quintas,wilsonerin@yahoo.com,2200
26,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-29,nan,alexandria smith,female,2009-08-16,13,la colina,jamessilva@yahoo.com,6269
27,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-29,nan,cassandra mora md,female,2018-09-04,3,empalme,qmclaughlin@hotmail.com,1633
28,universidad tecnológica nacional,contador público ,2020-09-21,nan,stacey case,female,1959-02-02,63,alto nuestra señora del valle,greenhoward@hotmail.com,4109
29,universidad tecnológica nacional,diseño industrial,2020-09-24,nan,jason roberts,male,1931-03-18,91,arroyo pareja,david84@hotmail.com,8111
30,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-09-23,nan,marie schwartz,female,1965-10-21,56,apeadero quiroga,mosleydavid@hotmail.com,5427
31,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-12-24,nan,julie curtis,female,1945-04-20,77,alianza,ellisanthony@gmail.com,8373
32,universidad tecnológica nacional,arquitectura,2020-12-24,nan,chelsea whitaker,female,2005-02-19,17,cañadon chileno,nicolegolden@hotmail.com,8417
33,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-08,nan,julie herrera,female,2004-11-06,17,empalme san carlos,martincharles@hotmail.com,3007
34,universidad tecnológica nacional,licenciatura en sociología ,2020-09-02,nan,ryan bowen,male,1980-03-19,42,barrio carosio,tyrone84@hotmail.com,6000
35,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-07,nan,mark hernandez,male,1953-09-22,68,nonogasta,pattersonstephanie@yahoo.com,5372
36,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,nan,jessica richardson,female,1971-04-03,51,bajo de las palomas,hansondavid@gmail.com,6313
37,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-24,nan,cameron lynch,male,1906-12-03,115,calderon,kentbrandon@hotmail.com,8101
38,universidad tecnológica nacional,licenciatura en administración ,2020-09-09,nan,emily jones,female,1984-07-13,38,agua blanca,monicabeasley@yahoo.com,4168
39,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-10-06,nan,julian green,male,2016-05-16,6,paso de los andes,sgentry@gmail.com,5503
40,universidad tecnológica nacional,contador público ,2020-09-24,nan,dennis hurst,male,1952-07-04,70,colonia reina margarita,rebecca05@hotmail.com,2309
41,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-09-16,nan,chelsea white,female,1938-06-29,84,leubuco,tina40@gmail.com,6338
42,universidad tecnológica nacional,arquitectura,2020-12-29,nan,antonio patel,male,1930-03-13,92,bosques,irodriguez@gmail.com,1889
43,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-17,nan,tyler reed,male,1918-12-06,103,cuenca,xhernandez@hotmail.com,6231
44,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-21,nan,emily hall,female,1941-10-08,80,dina huapi,vicki56@yahoo.com,8402
45,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021-01-08,nan,javier cobb dvm,male,1912-07-28,110,alejandro petion,loriford@yahoo.com,1808
46,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,nan,christina porter,female,1984-11-23,37,pozo navagan,meltonstephen@hotmail.com,3621
47,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,nan,jessica mccall,female,2014-05-31,8,chañarcito,brianrobinson@hotmail.com,4707
48,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-09-24,nan,jared larson,male,1994-09-25,27,carbometal,taylor96@gmail.com,5505
49,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,nan,darren lee md,male,1968-08-14,54,arroyo palmar,evanskatherine@yahoo.com,3218
50,universidad tecnológica nacional,bioquímica,2020-10-28,nan,jay conway,male,1998-08-13,24,colonia la oracion,karenmendoza@yahoo.com,6307
51,universidad tecnológica nacional,contador público ,2020-12-13,nan,jon gordon,male,1960-04-20,62,bajastine,agonzalez@yahoo.com,4164
52,universidad tecnológica nacional,técnico para bioterios ,2020-10-03,nan,anthony johnson,male,1915-10-03,106,encina,eryan@hotmail.com,6077
53,universidad tecnológica nacional,licenciatura en psicología,2020-09-11,nan,greg wells,male,1938-10-24,83,claudio c molina,trodriguez@hotmail.com,7515
54,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,nan,aaron vance,male,1927-11-02,94,campo medina,dnavarro@hotmail.com,2142
55,universidad tecnológica nacional,ingeniería en informática,2021-01-16,nan,dale martinez,male,2005-08-11,17,13 de enero,pstanton@hotmail.com,5741
56,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,nan,dale huynh,male,1991-04-08,31,colonia matilde,wsingh@hotmail.com,3013
57,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-09-25,nan,timothy norman,male,1929-04-24,93,el jumeal,tnichols@yahoo.com,5365
58,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-10-31,nan,paul evans,male,1950-07-22,72,aguada de la peña,zking@hotmail.com,5461
59,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-05,nan,christian sanders,male,1984-02-01,38,coronel charlone,fwiggins@yahoo.com,6223
60,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-10-09,nan,nicole wells,female,1918-12-26,103,barlett,gailunderwood@yahoo.com,2175
61,universidad tecnológica nacional,licenciatura en sociología ,2020-09-12,nan,george thompson,male,1939-01-30,83,azul,andrewsnyder@hotmail.com,7300
62,universidad tecnológica nacional,diseño de imagen y sonido,2020-11-26,nan,joseph wall,male,1948-10-01,73,los molinos,gtucker@yahoo.com,2181
63,universidad tecnológica nacional,contador público ,2020-11-12,nan,tiffany molina,female,1948-12-07,73,algarrobal abajo,brianduncan@hotmail.com,5541
64,universidad tecnológica nacional,farmacia,2020-11-26,nan,julia lopez,female,2002-12-03,19,blanca grande,kray@gmail.com,6561
65,universidad tecnológica nacional,agronomía,2020-10-10,nan,benjamin moore,male,1928-10-07,93,cailomuta,richardsonashley@gmail.com,6339
66,universidad tecnológica nacional,diseño de imagen y sonido,2021-01-25,nan,steven sexton,male,1955-03-14,67,aero club canal,hendersonlinda@hotmail.com,2823
67,universidad tecnológica nacional,farmacia,2020-10-22,nan,margaret johnson,female,2019-06-06,3,colonia sere,rioskevin@yahoo.com,6459
68,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-27,nan,john smith,male,1969-06-06,53,azteazu,vegajuan@yahoo.com,6365
69,universidad tecnológica nacional,licenciatura en ciencia política ,2020-11-11,nan,paul johnson,male,1983-02-19,39,carbometal,emilydonaldson@hotmail.com,5505
70,universidad tecnológica nacional,actuario ,2021-01-02,nan,leah williams,female,2000-07-15,22,cabaña el cisne,trevinokenneth@gmail.com,2322
71,universidad tecnológica nacional,ingeniería mecánica,2020-10-25,nan,zachary hurley,male,2007-11-05,14,ambrosio p lezica,john64@gmail.com,8508
72,universidad tecnológica nacional,licenciatura en administración ,2020-11-22,nan,isabella gibson,female,1999-10-26,22,cazon,luis27@gmail.com,7265
73,universidad tecnológica nacional,bioquímica,2020-09-06,nan,mark estrada,male,1979-01-14,43,dock sud,collin60@yahoo.com,1871
74,universidad tecnológica nacional,actuario ,2020-10-01,nan,hunter buck,male,1972-08-24,50,longchamps,wdudley@gmail.com,1854
75,universidad tecnológica nacional,medicina,2021-01-12,nan,christine huerta,female,1945-05-31,77,el potrero,justin29@gmail.com,5321
76,universidad tecnológica nacional,diseño industrial,2020-12-18,nan,felicia bautista,female,1946-09-18,75,casablanca,robert75@hotmail.com,2317
77,universidad tecnológica nacional,diseño de imagen y sonido,2020-12-30,nan,david yu,male,2008-12-19,13,villa hipodromo,jwillis@yahoo.com,5547
78,universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-20,nan,maria hale,female,1974-07-08,48,los cardos,friedmankristen@hotmail.com,2533
79,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-11,nan,katelyn white,female,1981-04-24,41,carrizales,jaimerivers@gmail.com,2218
80,universidad tecnológica nacional,agronomía,2020-09-15,nan,mark cook,male,1916-10-23,105,ingeniero de madrid,kellymartinez@yahoo.com,6651
81,universidad tecnológica nacional,ingeniería electrónica,2021-01-16,nan,margaret chavez,female,1945-03-28,77,alto verde,iyoung@gmail.com,2801
