university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2021-01-08,randy,williams,male,75,1890,juan maria gutierrez,joshua07@yahoo.com
universidad abierta interamericana,licenciatura en ciencias ambientales,2020-10-04,nichole,stanley,female,32,8146,el rincon,dbutler@yahoo.com
universidad abierta interamericana,licenciatura en ciencias de la educación,2020-10-13,christine,davis,female,112,4715,agua verde,marvin72@yahoo.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-11-22,kevin,weaver,male,62,5423,capitan lazo,millererika@hotmail.com
universidad abierta interamericana,licenciatura en psicología,2021-01-30,david,oliver,male,79,1836,llavallol,jorge05@yahoo.com
universidad abierta interamericana,licenciatura en artes,2020-10-12,alyssa,callahan,female,38,4231,albigasta,jodi34@yahoo.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2020-11-13,tracy,pope,female,79,8122,la viticola,jamesgentry@hotmail.com
universidad abierta interamericana,bioquímica,2021-01-26,shawn,fleming,male,-52,7000,cantera aguirre,betty11@hotmail.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32,3363,25 de mayo,james37@hotmail.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2021-01-21,tyrone,roberts,male,118,3357,barra bonita,millerrandall@gmail.com
universidad abierta interamericana,farmacia,2020-12-20,brandon,carter,male,36,2117,alcorta,reedaustin@yahoo.com
universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2020-11-13,henry,edwards,male,73,3585,el sombrerito,garyball@gmail.com
universidad abierta interamericana,diseño de imagen y sonido,2020-09-17,donna,sparks,female,45,4176,alto del puesto,hrodriguez@yahoo.com
universidad abierta interamericana,licenciatura en psicología,2020-09-12,brandy,gibson,female,103,6070,balsa,erinjackson@yahoo.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2021-01-04,robert,price,male,23,5733,cramer,sheparddiane@hotmail.com
universidad abierta interamericana,ingeniería mecánica,2020-12-14,johnny,williams,male,56,6461,capitan castro,andreaboyd@yahoo.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2020-12-11,lisa,green,female,-19,1735,el durazno,hudsonbrianna@gmail.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2021-01-24,david,chung,male,37,2852,alarcon,johnsonbrandon@hotmail.com
universidad abierta interamericana,licenciatura en ciencias geológicas,2020-09-30,jennifer,ramirez,female,100,6315,colonia baron,woodangelica@hotmail.com
universidad abierta interamericana,licenciatura en ciencia y tecnología de alimentos,2020-11-28,jose,white,male,64,3370,planchada banderita,jenniferbrown@yahoo.com
