university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de la pampa,licenciatura en musicoterapia,2021-01-22,brett,roberts,male,22,3232,cabred,deannalarson@hotmail.com
universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2021-01-14,mckenzie,mclaughlin,female,15,1629,cabred,turnerjames@hotmail.com
universidad nacional de la pampa,ciencias veterinarias,2021-01-26,bryan,kane,male,11,3252,almirante irizar,annaglass@yahoo.com
universidad nacional de la pampa,farmacia,2020-12-29,chad,richardson,male,45,3185,aldea san jorge,jacksonmichelle@hotmail.com
universidad nacional de la pampa,licenciatura en sociología,2020-09-03,cassandra,odonnell,female,67,7245,aldea san jorge,jamesthompson@gmail.com
universidad nacional de la pampa,ingeniería en informática,2020-11-20,jeffrey,rivera,male,102,8206,aldea san jorge,kristaaustin@hotmail.com
universidad nacional de la pampa,ingeniería en informática,2020-10-23,ann,schmidt,female,78,2255,colonia la marta,michael73@gmail.com
universidad nacional de la pampa,actuario,2020-09-28,gabrielle,johnson,female,25,3071,colonia la marta,ipage@hotmail.com
universidad nacional de la pampa,diseño de imagen y sonido,2020-10-22,samuel,tate,male,95,2253,campo sabate,gwoodard@gmail.com
universidad nacional de la pampa,contador público,2020-12-08,jamie,henderson,female,40,3220,colonia españa,coxtanner@yahoo.com
universidad nacional de la pampa,licenciatura en ciencias de la educación,2020-09-13,lisa,blair,female,26,3085,colonia españa,rjoyce@gmail.com
universidad nacional de la pampa,licenciatura en sociología,2020-11-18,steven,hill,male,9,2405,colonia españa,littleronald@gmail.com
universidad nacional de la pampa,licenciatura en musicoterapia,2020-10-19,michelle,beasley,female,84,3072,campo rodriguez,leoncindy@gmail.com
universidad nacional de la pampa,arquitectura,2020-11-12,shaun,dunn,male,114,5759,campo rodriguez,ydavis@hotmail.com
universidad nacional de la pampa,licenciatura en ciencia política,2021-01-24,jamie,martin,female,9,6333,aguara grande,anthony25@gmail.com
universidad nacional de la pampa,licenciatura en ciencias geológicas,2020-12-09,logan,clements,male,85,9410,aguara grande,beardpatrick@yahoo.com
universidad nacional de la pampa,ingeniería mecánica,2021-01-17,carol,myers,female,20,2747,campo gimenez,brownjason@yahoo.com
universidad nacional de la pampa,ingeniería electrónica,2020-10-27,shannon,wilson,female,98,6303,campo gimenez,darlene98@gmail.com
universidad nacional de la pampa,licenciatura en kinesiología y fisiatría,2020-10-10,chris,bennett,male,92,3122,campo gimenez,hlewis@yahoo.com
universidad nacional de la pampa,licenciatura en producción de bioimagenes,2020-11-28,ethan,lewis,male,110,3374,campo gimenez,eric54@gmail.com
universidad nacional de la pampa,diseño industrial,2021-01-25,william,snow,male,16,5501,arroyo manganga,ajones@hotmail.com
universidad nacional de la pampa,licenciatura en ciencias ambientales,2020-12-10,anna,steele,female,68,6309,arroyo manganga,micheal44@yahoo.com
universidad nacional de la pampa,licenciatura en sociología,2020-09-24,ian,flores,male,7,1822,pilar,eric92@hotmail.com
universidad nacional de la pampa,licenciatura en ciencias biológicas,2020-10-20,stephanie,miller,female,10,1688,colonia cello,znunez@yahoo.com
universidad nacional de la pampa,agronomía,2020-12-15,lisa,booth,female,21,3540,colonia cello,youngsteven@hotmail.com
universidad nacional de la pampa,licenciatura en ciencias antropológicas,2020-12-27,robert,wilson,male,13,1601,colonia cello,mhoward@gmail.com
universidad nacional de la pampa,ingeniería mecánica,2020-10-06,alejandra,mcbride,female,15,7105,la lucila,lloydkara@gmail.com
universidad nacional de la pampa,actuario,2020-10-31,carl,ferguson,male,44,3101,la lucila,taylorsmith@hotmail.com
universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2020-11-25,russell,williams,male,6,5724,la lucila,james63@gmail.com
universidad nacional de la pampa,ingeniería mecánica,2021-01-22,matthew,maldonado,male,79,7136,calera argentina,sarah88@hotmail.com
universidad nacional de la pampa,licenciatura en terapia ocupacional,2020-12-22,kelli,boone,female,105,1765,calera argentina,briansalas@yahoo.com
