,university,career,inscription_date,last_name,gender,age,postal_code,location,email
0,universidad de morón,ingeniería mecánica,2020-01-24,veronica miller,female,5,3224,la blanqueada,kristin71@hotmail.com
1,universidad de morón,licenciatura en ciencias de la educación,2020-08-27,stephen russo,male,19,6221,ceballos,harrisonkimberly@gmail.com
2,universidad de morón,contador público,2020-07-14,melanie collins,female,64,1876,bernal este,seanfisher@hotmail.com
3,universidad de morón,licenciatura en artes,2020-10-28,sandra simpson,female,85,3083,grutly,spencermurphy@hotmail.com
4,universidad de morón,agronomía,2020-12-29,scott marshall,male,12,8000,adela corti,lloydkathryn@gmail.com
5,universidad de morón,licenciatura en administración,2020-07-24,james oliver,male,42,6469,asturias,asmith@gmail.com
6,universidad de morón,licenciatura en ciencia y tecnología de alimentos,2020-08-07,colleen herman,female,72,3474,chavarria,fkelley@hotmail.com
7,universidad de morón,licenciatura en ciencias de la educación,2020-02-23,timothy johnson,male,101,5623,atuel sud,michaellane@yahoo.com
8,universidad de morón,licenciatura en ciencia y tecnología de alimentos,2020-11-09,robyn walsh,female,54,4601,corral de piedras,dawn84@hotmail.com
9,universidad de morón,licenciatura en terapia ocupacional,2020-10-20,christopher wilson,male,14,8345,alumine,rowen@yahoo.com
10,universidad de morón,ciencias veterinarias,2020-10-08,wayne jackson,male,110,5300,amilgancho,kristenblack@yahoo.com
11,universidad de morón,ciencias veterinarias,2020-12-02,samantha thompson,female,26,5509,agrelo,meganolson@hotmail.com
12,universidad de morón,arquitectura,2020-10-08,james lopez,male,26,5589,chapanay,victor92@yahoo.com
13,universidad de morón,diseño de imagen y sonido,2020-03-12,michael little,male,38,7100,dolores,elizabethprice@gmail.com
14,universidad de morón,diseño de imagen y sonido,2020-07-22,daniel nunez,male,33,8181,azopardo,michellemorse@yahoo.com
15,universidad de morón,licenciatura en ciencias biológicas,2020-03-23,samuel davenport,male,79,6022,la oriental,jamesjackson@hotmail.com
16,universidad de morón,licenciatura en artes,2020-04-10,natalie jackson,female,88,3536,bocas,acostanicole@gmail.com
17,universidad de morón,bioquímica,2020-12-20,benjamin thomas,male,57,4166,balderrama,hicksriley@gmail.com
18,universidad de morón,licenciatura en ciencias de la educación,2020-03-25,devin johnson,male,61,8133,la rosa,hunter66@gmail.com
19,universidad de morón,bioquímica,2020-04-27,erin kent,female,109,5883,alto lindo,shannonjohnson@hotmail.com
20,universidad de morón,licenciatura en musicoterapia,2020-03-28,natasha adams,female,97,1644,victoria,earl75@yahoo.com
21,universidad de morón,diseño de imagen y sonido,2020-04-02,douglas smith,male,57,4111,aguada,qevans@hotmail.com
22,universidad de morón,licenciatura en ciencia política,2020-01-13,connie beck,female,59,5407,dique toma,thomasbrett@gmail.com
23,universidad de morón,licenciatura en ciencias geológicas,2020-01-27,jeremiah lee,male,111,7401,canteras de gregorini,johnsonteresa@gmail.com
24,universidad de morón,medicina,2020-09-19,karen willis,female,16,2814,alto los cardales,carrie07@gmail.com
25,universidad de morón,licenciatura en ciencias ambientales,2020-10-08,james wang,male,43,7167,carilo,websterdorothy@yahoo.com
26,universidad de morón,agronomía,2020-05-09,darlene stone,female,46,1612,ingeniero adolfo sourdeaux,lindsey16@yahoo.com
27,universidad de morón,diseño de imagen y sonido,2020-02-19,teresa garcia,female,21,3117,,conwaylauren@yahoo.com
28,universidad de morón,licenciatura en ciencias de la educación,2020-04-09,daniel hall,male,96,3246,achiras,jasonpoole@gmail.com
29,universidad de morón,ingeniería mecánica,2020-01-20,tammie porter,female,23,6311,campo de los toros,richard78@yahoo.com
30,universidad de morón,ingeniería mecánica,2020-04-11,rose vargas,female,56,5385,,ymcintosh@hotmail.com
31,universidad de morón,bioquímica,2020-10-28,maria patterson dds,female,49,7260,barrio villa saladillo,kari89@gmail.com
32,universidad de morón,licenciatura en terapia ocupacional,2020-09-20,amy warren,female,86,3501,campo de galnasi,jessicabrown@gmail.com
33,universidad de morón,arquitectura,2020-06-22,kayla simon,female,96,3412,,robertoortega@gmail.com
34,universidad de morón,contador público,2020-02-24,dr. kimberly sims,female,106,9200,arroyo pescado,agraves@hotmail.com
35,universidad de morón,licenciatura en ciencias antropológicas,2020-10-22,michelle wu,female,3,2760,colonia los tres usaris,gking@gmail.com
36,universidad de morón,licenciatura en relaciones del trabajo,2020-12-08,alexander harvey,male,83,3557,,michael67@hotmail.com
37,universidad de morón,licenciatura en ciencias biológicas,2020-05-28,angela glover,female,107,8133,la rosa,shannongray@gmail.com
38,universidad de morón,licenciatura en ciencias geológicas,2020-09-18,pedro sparks,male,81,2347,colonia mackinlay,stephanielittle@hotmail.com
39,universidad de morón,licenciatura en artes,2020-06-11,tara mercado,female,102,3451,batelito,glenntristan@yahoo.com
40,universidad de morón,licenciatura en gestión de agroalimentos,2020-05-27,jason house,male,14,3080,colonia pujol,bellgary@hotmail.com
41,universidad de morón,arquitectura,2020-07-16,anthony sims,male,93,4161,alongo,vjensen@yahoo.com
42,universidad de morón,diseño industrial,2020-05-03,david phillips,male,54,3374,el porvenir,odaniels@hotmail.com
43,universidad de morón,ciencias veterinarias,2020-08-20,ebony young,female,107,3248,caraguata,rodriguezcalvin@yahoo.com
44,universidad de morón,licenciatura en producción de bioimagenes,2020-07-20,travis weber,male,17,7511,balneario oceano,nbrooks@yahoo.com
45,universidad de morón,contador público,2020-12-17,sara glass,female,41,3244,colonia belga americana,lawrencejackson@yahoo.com
46,universidad de morón,diseño de imagen y sonido,2020-05-05,terry long,male,54,6407,girodias,justin37@yahoo.com
47,universidad de morón,farmacia,2020-08-18,kathryn garza,female,64,3176,estacion sola,debra86@gmail.com
48,universidad de morón,licenciatura en ciencias ambientales,2020-09-07,courtney hopkins,female,23,3486,villa olivari,theresa12@yahoo.com
49,universidad de morón,licenciatura en kinesiología y fisiatría,2020-09-17,lori gill,female,62,6221,ceballos,cody67@yahoo.com
50,universidad de morón,técnico para bioterios,2020-01-18,tiffany martinez,female,82,6269,la colina,ballarddylan@hotmail.com
51,universidad de morón,agronomía,2020-01-24,paula hall,female,108,1612,ingeniero adolfo sourdeaux,hernandezcourtney@gmail.com
52,universidad de morón,licenciatura en gestión de agroalimentos,2020-12-24,christina thompson,female,70,2500,cañada de gomez,jacksondesiree@gmail.com
53,universidad de morón,licenciatura en ciencias de la computación,2020-04-26,michael simpson,male,15,7172,colonia ferrari,amy54@yahoo.com
54,universidad de morón,licenciatura en terapia ocupacional,2020-05-27,james brown,male,5,1771,mercado central,adrian17@hotmail.com
55,universidad de morón,licenciatura en sociología,2020-02-11,david york,male,41,1814,barrio 1 de mayo,luis56@gmail.com
56,universidad de morón,licenciatura en ciencia política,2020-07-09,jeffrey stevens,male,16,8351,agrio balsa,melanie49@hotmail.com
57,universidad de morón,ciencias veterinarias,2020-04-02,jeremy anderson,male,2,3363,25 de mayo,jasonheath@hotmail.com
58,universidad de morón,arquitectura,2020-10-04,brian harris,male,99,7161,labarden,bakersuzanne@gmail.com
59,universidad de morón,licenciatura en ciencias geológicas,2020-05-03,chad fletcher,male,77,3511,colonia coronel dorrego,barkermelissa@gmail.com
60,universidad de morón,licenciatura en relaciones del trabajo,2020-11-16,evan reynolds,male,102,9220,cañadon la madera,vhernandez@gmail.com
61,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-10-18,mr. brandon marquez,male,71,4413,catua,jeffreyharris@gmail.com
62,universidad de morón,bioquímica,2020-07-02,jessica johnson,female,96,6530,carlos casares,nwalker@yahoo.com
63,universidad de morón,licenciatura en ciencia política,2020-07-13,bobby lee,male,49,4743,,sotodavid@hotmail.com
64,universidad de morón,licenciatura en ciencias de la educación,2020-11-29,bonnie thompson,female,109,5721,agua seballe,kelly30@hotmail.com
65,universidad de morón,licenciatura en ciencia política,2020-05-05,mary hanson,female,70,7000,cantera aguirre,nlopez@yahoo.com
66,universidad de morón,licenciatura en psicología,2020-11-24,adam preston,male,9,5367,cachiyuyal,jennifer53@yahoo.com
67,universidad de morón,ingeniería mecánica,2021-01-02,deborah barrett,female,76,5605,calle larga vieja,jarvisstephanie@gmail.com
68,universidad de morón,farmacia,2020-09-14,jasmine davis md,female,31,2200,las quintas,danataylor@yahoo.com
69,universidad de morón,contador público,2020-02-06,james smith,male,98,1657,11 de septiembre,rperry@yahoo.com
70,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-09-05,patricia nguyen,female,102,1731,villars,robert16@yahoo.com
71,universidad de morón,actuario,2020-05-30,joshua ryan,male,29,5711,angelita,johnsonbailey@gmail.com
72,universidad de morón,bioquímica,2020-03-22,angie roberts,female,116,5595,cupiles,danielreynolds@yahoo.com
73,universidad de morón,licenciatura en relaciones del trabajo,2020-03-11,janet pineda,female,92,9213,cañadon caliente,taylormegan@yahoo.com
74,universidad de morón,licenciatura en kinesiología y fisiatría,2020-08-22,frances barrett,female,92,6213,lote 11 escuela 107,burnsjohnny@yahoo.com
75,universidad de morón,medicina,2020-01-30,pamela gonzalez,female,12,8172,arroyo corto,ricardogarcia@yahoo.com
76,universidad de morón,agronomía,2020-12-05,darren owens,male,53,5381,,fritzbrandon@gmail.com
77,universidad de morón,medicina,2020-03-23,kenneth hart,male,111,3038,cayastacito,branchscott@hotmail.com
78,universidad de morón,ingeniería en informática,2020-03-03,john lowe,male,34,7001,la pastora,hmorris@yahoo.com
79,universidad de morón,licenciatura en artes,2020-07-28,antonio carlson,male,95,5527,colonia santa teresa,bdavis@yahoo.com
80,universidad de morón,arquitectura,2020-07-27,matthew payne,male,75,8208,campo cicare,murphyvanessa@yahoo.com
81,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-09-16,oscar morrison,male,35,5609,aristides villanueva,steven91@gmail.com
82,universidad de morón,licenciatura en artes,2020-11-16,jennifer romero,female,100,8422,aguada de piedra,leonwesley@gmail.com
83,universidad de morón,licenciatura en terapia ocupacional,2020-04-04,chase goodman,male,47,4701,,nelsonsandra@yahoo.com
84,universidad de morón,ingeniería electrónica,2020-12-06,elijah lewis,male,48,3443,colonia mendez bar,jacqueline22@yahoo.com
85,universidad de morón,licenciatura en ciencia y tecnología de alimentos,2020-02-06,patrick cole,male,41,1757,gregorio de laferrere,jeffreylindsey@gmail.com
86,universidad de morón,arquitectura,2020-09-23,amber leblanc,female,4,6326,anguil,rodriguezcarol@gmail.com
87,universidad de morón,ingeniería electrónica,2020-07-27,karen moon,female,51,9007,,amalone@gmail.com
88,universidad de morón,licenciatura en ciencias ambientales,2020-03-08,kaitlyn thompson,female,106,6333,alfredo peña,mmiller@gmail.com
