,university,career,inscription_date,last_name,gender,age,postal_code,location,email
0,universidad nacional de río cuarto,ingeniería electrónica,2020-07-20,joann good,female,21,2840,albardon,gonzalezbrenda@yahoo.com
1,universidad nacional de río cuarto,diseño de imagen y sonido,2020-11-19,debbie pitts,female,33,5315,calera la norma,bacosta@gmail.com
2,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-01-20,colleen williams,female,12,3203,arroyo grande,margaretowen@gmail.com
3,universidad nacional de río cuarto,ingeniería en informática,2020-01-21,johnny hull,male,39,3136,alcaraz norte,ehale@gmail.com
4,universidad nacional de río cuarto,actuario ,2020-12-19,brandi gibson,female,35,1741,enrique fynn,nellison@yahoo.com
5,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-04-21,danielle smith,female,69,1605,carapachay,craig22@gmail.com
6,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-12-21,jesse sims,male,8,6009,san marcelo,rebeccakramer@yahoo.com
7,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-07-20,kristi roberts,female,25,9313,cara mala,gregorymurphy@hotmail.com
8,universidad nacional de río cuarto,técnico para bioterios ,2020-02-21,william white,male,56,7101,cerro de la gloria canal 15,charles27@yahoo.com
9,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-05-20,ashley alvarez,female,11,3734,campo moreno,glenn38@gmail.com
10,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-10-20,james andersen,male,25,6437,alamos,rachelcobb@yahoo.com
11,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-08-20,felicia jordan,female,97,5611,agua rica,jameswright@hotmail.com
12,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-08-21,jamie moore,female,12,3105,diamante,carpenterrebecca@yahoo.com
13,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-04-20,paul cox,male,96,7220,funke,erin08@yahoo.com
14,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-10-21,matthew koch,male,12,6405,30 de agosto,danielmichelle@hotmail.com
15,universidad nacional de río cuarto,diseño industrial,2020-05-21,tracey bell,female,4,2931,isla los laureles,marygallegos@yahoo.com
16,universidad nacional de río cuarto,diseño de imagen y sonido,2020-11-20,mary hernandez,female,34,3572,campo garabato,gsalas@hotmail.com
17,universidad nacional de río cuarto,licenciatura en sociología ,2020-08-20,corey smith,male,94,3125,antonio tomas,jessicasullivan@yahoo.com
18,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-11-21,karen lewis,female,72,7639,cooper,mirandadaniel@gmail.com
19,universidad nacional de río cuarto,licenciatura en psicología,2020-11-19,brian lawrence,male,79,6467,el trio,thomascochran@gmail.com
20,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-04-21,regina thornton,female,69,3180,diego lopez,crystaldavis@yahoo.com
21,universidad nacional de río cuarto,técnico para bioterios ,2020-01-20,richard thompson,male,21,1981,desvio kilometro 55,maria39@hotmail.com
22,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-08-20,jessica turner,female,68,4624,abra mayo,urodriguez@hotmail.com
23,universidad nacional de río cuarto,licenciatura en psicología,2020-02-20,kevin graham,male,9,3463,aristia,debbie50@yahoo.com
24,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-12-19,timothy smith,male,13,2812,capilla del señor,maria98@yahoo.com
25,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-07-20,kevin bryan,male,71,1896,camino centenario km 11500,louisturner@gmail.com
26,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-04-21,jeremy tucker,male,90,7406,aldecon,gstark@gmail.com
27,universidad nacional de río cuarto,técnico para bioterios ,2020-10-20,marcus kidd,male,33,3580,kilometro 408,stephenkelley@gmail.com
28,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-05-21,jonathan roberts,male,36,2747,coronel isleños,andrew27@yahoo.com
29,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-06-21,vincent hart,male,6,8411,cascada los cantaros,martinezjordan@yahoo.com
30,universidad nacional de río cuarto,licenciatura en ciencia política ,2020-02-20,christian wade,male,71,7100,dolores,meghan37@gmail.com
31,universidad nacional de río cuarto,ingeniería en informática,2020-09-20,corey parks,male,72,1891,ingeniero allan,fochoa@yahoo.com
32,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-05-21,jared wang,male,2,3285,berduc,marie79@gmail.com
33,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-11-21,jose rogers,male,51,1617,el talar,alyssamelton@gmail.com
34,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-04-20,stanley reed,male,63,5595,cupiles,qwest@yahoo.com
35,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-03-21,andrew christian,male,42,7641,balneario los angeles,kmack@hotmail.com
36,universidad nacional de río cuarto,farmacia,2020-01-20,ashley wilson,female,31,3304,barrio don santiago,bsimon@gmail.com
37,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-08-21,amy miller,female,64,3515,capitan solari,cwaller@gmail.com
38,universidad nacional de río cuarto,bioquímica,2020-06-20,michael ochoa,male,37,5622,colonia jauregui,toddyoung@yahoo.com
39,universidad nacional de río cuarto,licenciatura en artes,2020-01-21,elizabeth rowland,female,72,4135,caspinchango,sean73@gmail.com
40,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-04-20,david guzman,male,19,6628,colonia zambungo,kellykimberly@yahoo.com
41,universidad nacional de río cuarto,licenciatura en administración ,2020-11-21,stephen coleman,male,42,9023,buen pasto,andersonsteven@gmail.com
42,universidad nacional de río cuarto,licenciatura en sociología ,2020-10-19,austin fernandez,male,62,3197,abra guazu,april34@gmail.com
43,universidad nacional de río cuarto,arquitectura,2020-11-21,catherine anderson,female,67,7107,santa teresita,tracyzavala@yahoo.com
44,universidad nacional de río cuarto,arquitectura,2020-12-19,andrew villegas,male,0,2179,bombal,smithmichael@hotmail.com
45,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-10-19,gregory walsh,male,14,5409,adan quiroga,bartlettkelsey@gmail.com
46,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-08-21,casey franklin,male,66,6725,carmen de areco,parksamy@gmail.com
47,universidad nacional de río cuarto,ingeniería electrónica,2020-04-21,jennifer chapman,female,19,8504,cantera villalonga,alec96@hotmail.com
48,universidad nacional de río cuarto,actuario ,2020-05-20,matthew fox,male,94,4161,alongo,kimjennifer@yahoo.com
49,universidad nacional de río cuarto,técnico para bioterios ,2020-03-21,denise wilson,female,73,2252,colonia campo piaggio,smithsamuel@gmail.com
50,universidad nacional de río cuarto,agronomía,2020-01-20,cheryl rodriguez,female,11,2128,arroyo seco,john18@hotmail.com
51,universidad nacional de río cuarto,agronomía,2020-10-19,chad wilson,male,86,1686,hurlingham,robertjimenez@gmail.com
52,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-01-20,kevin green,male,68,5571,chivilcoy,smithkayla@gmail.com
53,universidad nacional de río cuarto,contador público ,2020-05-21,mindy young,female,75,7228,abbott,diazrebecca@hotmail.com
54,universidad nacional de río cuarto,técnico para bioterios ,2020-05-20,john allen,male,64,3109,colonia centenario,qgilmore@yahoo.com
55,universidad nacional de río cuarto,contador público ,2020-12-20,brian shannon,male,93,3526,gandolfi,hernandezregina@hotmail.com
56,universidad nacional de río cuarto,medicina,2020-07-21,samuel lewis,male,26,2935,algarrobo,mary50@yahoo.com
57,universidad nacional de río cuarto,ingeniería mecánica,2020-03-20,samuel phillips,male,76,7108,costa del este,tracy66@yahoo.com
58,universidad nacional de río cuarto,técnico para bioterios ,2020-02-21,stacy gallagher,female,36,2111,francisco paz,nelsonchristine@gmail.com
59,universidad nacional de río cuarto,licenciatura en sociología ,2020-03-20,christopher anderson,male,4,8366,chelforo,lsanchez@yahoo.com
60,universidad nacional de río cuarto,diseño de imagen y sonido,2020-05-21,melanie sanders,female,87,5517,cespedes,coxstephen@yahoo.com
61,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-07-21,matthew clarke,male,94,8000,adela corti,philip65@yahoo.com
62,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-02-21,lauren levine,female,85,6321,caichue,frios@gmail.com
63,universidad nacional de río cuarto,ingeniería en informática,2020-11-21,rodney lopez,male,10,3443,colonia mendez bar,santiagonicole@gmail.com
64,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-05-21,rachel gutierrez,female,15,6277,buena esperanza,stokesjason@hotmail.com
65,universidad nacional de río cuarto,agronomía,2020-02-20,sherry foster,female,20,2802,lomas del rio lujan,charlesmeadows@hotmail.com
66,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-04-21,kathryn edwards,female,80,3540,avanzada,jamie72@yahoo.com
67,universidad nacional de río cuarto,licenciatura en psicología,2020-02-20,angela kline,female,65,4103,bajo de raco,riceryan@hotmail.com
68,universidad nacional de río cuarto,ingeniería electrónica,2020-07-21,angie moreno,female,28,7106,las toninas,lli@hotmail.com
69,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-05-21,kathleen thomas,female,66,2340,ceres,deanlisa@gmail.com
70,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-10-20,alexander kaiser,male,33,1651,san andres,tyler73@yahoo.com
71,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-03-21,terri owen,female,49,1984,domselaar,leonardjones@gmail.com
72,universidad nacional de río cuarto,bioquímica,2020-04-21,jason herrera,male,19,2805,arroyo aleli,wchen@hotmail.com
73,universidad nacional de río cuarto,técnico para bioterios ,2020-12-20,john thompson dds,male,54,3386,caraguatay,ericamoore@gmail.com
74,universidad nacional de río cuarto,actuario ,2020-12-21,tammy brennan,female,42,3101,aldea brasilera,ypowell@yahoo.com
75,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-01-20,elizabeth glover,female,14,4700,banda varela,davisamy@yahoo.com
76,universidad nacional de río cuarto,arquitectura,2020-10-19,tracy mcintosh,female,28,6612,capdepont,scottvazquez@hotmail.com
77,universidad nacional de río cuarto,farmacia,2020-02-20,frederick johnston,male,7,8170,abra de hinojo,brownsierra@hotmail.com
78,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-11-19,william page,male,76,8183,avestruz,wiselaura@gmail.com
79,universidad nacional de río cuarto,agronomía,2020-04-20,richard kelley,male,83,3465,arroyo casco,davisalbert@gmail.com
80,universidad nacional de río cuarto,ingeniería mecánica,2020-04-21,erica abbott,female,83,1923,arroyo del pescado,talvarado@gmail.com
81,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-07-21,karen kemp,female,25,6648,mecha,aprilfernandez@yahoo.com
82,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-12-19,jordan roberts,male,75,3580,kilometro 408,njackson@gmail.com
83,universidad nacional de río cuarto,licenciatura en ciencias de la computación,2020-09-20,dr. alexis hess,female,16,1862,america unida,jessica60@yahoo.com
