,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de buenos aires,actuario,2024-09-20,,amy wallace,female,1,8431,el hoyo,brookejones@yahoo.com
1,universidad de buenos aires,licenciatura en gestión de agroalimentos,2027-09-20,,angela hudson,female,17,3151,antelo,cpatterson@yahoo.com
2,universidad de buenos aires,medicina,2018-10-20,,jessica sandoval,female,76,6601,altamira,melinda04@hotmail.com
3,universidad de buenos aires,licenciatura en ciencias antropológicas,2020-09-20,,david cooper,male,93,6105,,lukegutierrez@yahoo.com
4,universidad de buenos aires,licenciatura en kinesiología y fisiatría,2012-12-20,,benjamin nicholson,male,54,5345,baños termales,bgonzalez@hotmail.com
5,universidad de buenos aires,licenciatura en terapia ocupacional,2004-12-20,,douglas boyer,male,9,3580,kilometro 408,taylor62@yahoo.com
6,universidad de buenos aires,licenciatura en ciencias de la educación,2018-09-20,,kenneth wright,male,73,7172,colonia ferrari,butlermartha@gmail.com
7,universidad de buenos aires,técnico para bioterios,2028-01-21,,heather bradford,female,4,6422,primera junta,nicole86@yahoo.com
8,universidad de buenos aires,ingeniería electrónica,2027-01-21,,mary smith,female,32,8113,baterias,margaret65@yahoo.com
9,universidad de buenos aires,licenciatura en kinesiología y fisiatría,2004-11-20,,pamela delgado,female,33,5557,caracoles,stefanie45@hotmail.com
10,universidad de buenos aires,licenciatura en administración,2024-11-20,,paul myers,male,98,5407,dique toma,ypayne@yahoo.com
11,universidad de buenos aires,medicina,2015-01-21,,amy hurst,female,41,4129,cañada,akeller@gmail.com
12,universidad de buenos aires,medicina,2024-10-20,,jessica davis,female,12,4124,abra el candado,barbaranash@gmail.com
13,universidad de buenos aires,licenciatura en ciencias geológicas,2004-01-21,,kimberly banks,female,29,5591,alpatacal,timothyfoster@gmail.com
14,universidad de buenos aires,licenciatura en terapia ocupacional,2002-11-20,,stephanie gates,female,78,6433,arturo vatteone,carlashepherd@yahoo.com
15,universidad de buenos aires,licenciatura en kinesiología y fisiatría,2016-12-20,,daniel harrell,male,63,8308,villa manzano,lvelasquez@gmail.com
16,universidad de buenos aires,contador público,2013-11-20,,justin gonzalez,male,47,5541,algarrobal abajo,oconnorbrenda@yahoo.com
17,universidad de buenos aires,ingeniería mecánica,2025-11-20,,ethan pierce,male,74,7161,labarden,reynoldsmegan@yahoo.com
