,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad del cine,licenciatura en gestión de agroalimentos,2020-05-27,,danielle gonzalez,female,17,8142,colonia barga,MEADOWSSTEPHANIE@GMAIL.COM
1,universidad del cine,técnico para bioterios,2020-07-02,,mary yang,female,37,3230,arbol solo,LAURA01@HOTMAIL.COM
2,universidad del cine,ciencias veterinarias,2020-12-31,,stacey medina,female,63,9037,aldea beleiro,SARAHPHAM@YAHOO.COM
3,universidad del cine,licenciatura en producción de bioimagenes,2020-10-29,,kathryn nichols,female,13,8142,colonia barga,CHRISTOPHERANDERSON@YAHOO.COM
4,universidad del cine,licenciatura en kinesiología y fisiatría,2020-05-10,,bob simpson,male,46,6071,bermudez,CPARKER@GMAIL.COM
5,universidad del cine,licenciatura en ciencias de la computación,2021-01-01,,eric kane,male,13,1754,san justo,JAMES27@YAHOO.COM
6,universidad del cine,licenciatura en musicoterapia,2020-01-17,,debra lambert,female,71,5409,adan quiroga,JOHN49@YAHOO.COM
7,universidad del cine,licenciatura en ciencia y tecnología de alimentos,2020-06-05,,mark bass,male,67,2603,chapuy,ROBERT74@HOTMAIL.COM
8,universidad del cine,licenciatura en sociología,2020-07-24,,savannah bailey md,female,8,8506,bahia san blas,ERINWRIGHT@GMAIL.COM
9,universidad del cine,licenciatura en terapia ocupacional,2020-06-28,,dominique allen dds,female,64,1674,villa raffo,MARTINHOLT@HOTMAIL.COM
10,universidad del cine,licenciatura en ciencias de la computación,2020-07-13,,cathy jensen,female,58,1646,san fernando,FMENDEZ@YAHOO.COM
11,universidad del cine,licenciatura en producción de bioimagenes,2020-03-20,,daniel grant,male,11,6734,rawson,THOMASCOURTNEY@GMAIL.COM
12,universidad del cine,arquitectura,2020-05-18,,michael shannon,male,80,8341,arroyo quillen,SMITHANGELA@YAHOO.COM
13,universidad del cine,arquitectura,2020-03-16,,john fisher,male,33,3162,aranguren,TREVORWOODS@YAHOO.COM
14,universidad del cine,licenciatura en ciencias de la educación,2020-04-18,,john nelson,male,40,2345,campo botto,ANNMARTIN@HOTMAIL.COM
15,universidad del cine,ingeniería en informática,2020-09-17,,jerry beasley,male,32,3340,boqueron,BROWNMICHAEL@GMAIL.COM
16,universidad del cine,ingeniería en informática,2020-05-03,,ryan collins,male,88,5360,chilecito,STACEY53@HOTMAIL.COM
17,universidad del cine,ingeniería electrónica,2020-03-31,,gail gibson,female,34,5607,colonia bombal y tabanera,WHEELERPAMELA@HOTMAIL.COM
18,universidad del cine,arquitectura,2020-10-29,,darrell chapman,male,61,5611,agua rica,CTHOMAS@HOTMAIL.COM
19,universidad del cine,actuario,2020-03-15,,jonathan reeves,male,39,3445,9 de julio,KRISTA39@GMAIL.COM
20,universidad del cine,farmacia,2020-02-05,,melissa lee,female,37,3403,aguirre cue,ASHLEYSTONE@GMAIL.COM
21,universidad del cine,diseño industrial,2020-07-01,,dr. kimberly meyer,female,75,8313,arroyito,CURTIS72@HOTMAIL.COM
22,universidad del cine,licenciatura en ciencias biológicas,2020-07-23,,kathryn hunt,female,74,4718,barro negro,SUSAN03@YAHOO.COM
