university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-11-01,,CHELSEA TAYLOR,F,1922-03-18,,6200,,MICHAEL67@GMAIL.COM
UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-12-09,,DANIEL BROWN,M,1939-09-29,,1633,,KHODGES@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-11,,MS. AMY SCOTT,F,1991-05-12,,5777,,DMADDEN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-18,,DAVID HUBER,M,1952-04-02,,4605,,WWEBB@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-06,,STEVEN MUNOZ,M,1955-03-26,,5381,,CHRISTOPHER00@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-22,,TIM COX,M,2004-02-27,,5622,,ALICIAPEARSON@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-12-22,,JOANN DOMINGUEZ,F,1916-07-28,,3308,,ELIZABETH50@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-19,,MRS. BREANNA ANDERSON MD,F,1955-09-27,,5622,,RREILLY@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-20,,IAN LEWIS,M,2006-04-29,,2508,,KIMANN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-08,,ALEXANDER WILLIAMS,M,2008-05-21,,4163,,LESLIE97@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-11,,EMILY WILSON,F,1939-05-20,,3328,,MARK19@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-12-04,,LAURA CLAY,F,2003-08-23,,1659,,KELLYJORDAN@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2021-01-16,,BRIAN ALEXANDER,M,1910-06-03,,3706,,MPOWELL@GMAIL.COM
UNIVERSIDAD DE FLORES,AGRONOMÍA,2021-01-18,,ERIK ADAMS,M,2009-05-30,,6077,,VICTOR43@YAHOO.COM
UNIVERSIDAD DE FLORES,FARMACIA,2020-12-27,,SARA HANSEN,F,1958-05-17,,5572,,MDAVIS@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-29,,FRANK FIELDS,M,1908-04-14,,3531,,KATHY78@GMAIL.COM
