university,career,inscription_date,last_name,gender,birth_date,age,postal_code,location,email
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,17-Sep-20,JAMES_GONZALEZ,M,08-Mar-42,,,CORONEL_ISLEÑOS,JOSEPHJACKSON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,01-Oct-20,CHRISTOPHER_RUSSELL,M,04-Apr-46,,,BELLOCQ,PATTERSONJEREMY@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,29-Sep-20,MONICA_FARLEY,F,02-Oct-72,,,CAÑADA_RICA,MARIA48@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,21-Dec-20,TAMMY_SUTTON,F,18-Jun-52,,,FRANCISCO_MADERO,CHARLES28@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,15-Jan-21,SYDNEY_PRICE,F,12-Jun-36,,,PELLEGRINI,SINGLETONJOSHUA@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,BIOQUÍMICA,21-Nov-20,ANTHONY_BAIRD,M,08-Sep-70,,,JOSE_CLEMENTE_PAZ,HERNANDEZANDREW@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,02-Nov-20,ADAM_CLARK,M,22-Sep-89,,,CHANILAO,YMILLS@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,10-Dec-20,CHERYL_CRUZ,F,18-Mar-51,,,BANFIELD,CHARLENEBARKER@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,28-Dec-20,REGINA_HUTCHINSON,F,27-Mar-60,,,CASTILLA,SIMPSONMICHELLE@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,29-Sep-20,TODD_FRAZIER,M,12-Jun-30,,,ALBERTO_FLORES,AMYNEAL@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,13-Dec-20,MARK_LEWIS,M,25-Jul-66,,,ISLA_GRAN_MALVINA,ZFROST@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,03-Sep-20,JOANN_HOWELL,F,28-Mar-58,,,AGUSTONI,WONGCALEB@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,29-Nov-20,SARAH_AGUIRRE,F,02-Dec-01,,,CRISTIANO_MUERTO,PAUL08@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,23-Sep-20,ELIJAH_MURPHY,M,29-Sep-63,,,ARROYO_URQUIZA,DMILLER@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,18-Sep-20,JACQUELINE_LYNCH,F,05-Feb-54,,,BIGAND,KEITH17@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,06-Jan-21,DEVIN_LEWIS,M,15-Jul-27,,,EMPALME_FRONTERA,MARGARET60@GMAIL.COM
