university,career,inscription_date,last_name,gender,birth_date,age,postal_code,location,email
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-20,MICHELLE HARRIS,F,1917-10-13,,7261,,MARTINEZJOHN@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-31,AMANDA HILL,F,1990-04-08,,8129,,TYLER57@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-04,JASON MONTES,M,1925-08-09,,3194,,WBRYANT@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-31,RYAN DAVIS,M,1934-12-23,,3328,,PATRICIAZAMORA@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-12-03,SANDRA BURTON,F,1970-02-12,,4500,,KLEINLAUREN@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-24,REBEKAH GONZALES,F,1979-01-13,,7609,,MTERRY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-23,LAURA GIBSON,F,1938-12-03,,3087,,CARMENMCKINNEY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-09,MICHAEL MCDONALD,M,1957-09-19,,3000,,BENJAMIN45@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2021-01-01,STEPHEN MATHIS,M,1947-04-18,,5557,,CHRISTINE82@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-10-18,TIMOTHY GIBSON,M,2013-07-20,,6050,,CHRISTOPHEREVANS@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2020-10-11,CODY HUNT MD,M,1967-01-15,,3214,,KEITH37@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-12-25,BRADLEY MILES,M,1927-01-05,,6331,,FLORESROBERT@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-11-19,MELISSA ROBERTSON,F,1992-11-24,,7630,,JOSEPHKING@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-09-18,JANE CAMPBELL,F,2002-08-16,,7311,,GILLESPIEBRIAN@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-14,BARBARA SPEARS,F,1971-02-25,,6433,,CINDY96@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-05,JOSHUA STOKES,M,1947-07-15,,5701,,JENNIFER73@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2020-12-23,GARY CHRISTENSEN,M,1993-07-22,,5505,,JAMES83@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-13,LISA COLLIER,F,1926-05-28,,6634,,CASESTACEY@YAHOO.COM
