university,careers,inscription_date,last_name,gender,age,birth_dates,postal_code,location,email
_universidad_de_palermo,actuario_,04/Dec/20,jonathan_zimmerman,m,,12/May/53,4139,,yking@gmail.com
_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,26/Oct/20,kathy_collins,f,,11/Apr/23,3229,,bkent@gmail.com
_universidad_de_palermo,agronomía,24/Oct/20,kevin_lee,m,,11/Nov/20,6365,,nancyho@hotmail.com
_universidad_de_palermo,licenciatura_en_sociología_,23/Dec/20,mark_scott,m,,08/Oct/14,9313,,shannon83@gmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,21/Oct/20,dawn_taylor,f,,29/Apr/81,6661,,amber11@hotmail.com
_universidad_de_palermo,contador_público_,22/Nov/20,chelsea_evans,f,,02/Oct/64,3355,,baldwintimothy@yahoo.com
_universidad_de_palermo,licenciatura_en_musicoterapia,01/Sep/20,michael_pitts,m,,21/Mar/21,4516,,usummers@yahoo.com
_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,26/Jan/21,david_ramos,m,,10/Jan/95,3550,,mariah31@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencia_política_,14/Jan/21,kaitlyn_potter,f,,28/Jun/69,3557,,joel80@gmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,25/Sep/20,james_klein,m,,07/Aug/82,5743,,andrewvega@gmail.com
_universidad_de_palermo,bioquímica,14/Dec/20,roy_bernard,m,,08/Apr/17,7111,,floresjoseph@yahoo.com
_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,12/Nov/20,christopher_ortega,m,,20/Dec/81,1625,,sharon90@gmail.com
_universidad_de_palermo,actuario_,20/Dec/20,leah_myers,f,,23/Aug/33,8364,,longyvette@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,09/Jan/21,robert_swanson,m,,07/Oct/73,3412,,mbradshaw@gmail.com
_universidad_de_palermo,agronomía,11/Sep/20,mrs._wendy_coleman,f,,21/Apr/92,5567,,espinozahunter@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,29/Sep/20,michael_williams,m,,02/Sep/13,6605,,shenderson@hotmail.com
_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,24/Oct/20,wesley_parrish,m,,22/Jun/18,3400,,diana33@yahoo.com
_universidad_de_palermo,arquitectura,28/Jan/21,nicole_thomas,f,,11/Nov/13,3443,,aho@hotmail.com
_universidad_de_palermo,ciencias_veterinarias,23/Nov/20,molly_garza,f,,12/Oct/61,3123,,phillipdaniels@hotmail.com
_universidad_de_palermo,técnico_para_bioterios_,11/Jan/21,christina_cruz,f,,04/Feb/65,5607,,jon54@hotmail.com
_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,17/Dec/20,jeffery_hernandez,m,,26/Dec/01,6727,,stantonanthony@hotmail.com
_universidad_de_palermo,ingeniería_en_informática,13/Oct/20,rachel_cummings,f,,22/Dec/04,8166,,mreed@hotmail.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,20/Sep/20,paula_stevens,f,,22/Oct/95,3592,,fjohnson@gmail.com
_universidad_de_palermo,licenciatura_en_terapia_ocupacional,14/Jan/21,thomas_burton,m,,13/Jun/48,2246,,amanda88@gmail.com
_universidad_de_palermo,licenciatura_en_psicología,22/Nov/20,megan_harrington,f,,06/Oct/17,7101,,maxwell07@hotmail.com
_universidad_de_palermo,actuario_,25/Dec/20,martha_lopez,f,,23/Jul/90,3322,,zcastillo@yahoo.com
_universidad_de_palermo,ingeniería_electrónica,02/Nov/20,cynthia_powell,f,,09/May/86,6205,,owiley@hotmail.com
_universidad_de_palermo,ingeniería_en_informática,02/Jan/21,jason_taylor,m,,31/Aug/54,2729,,burtonkevin@yahoo.com
_universidad_de_palermo,técnico_para_bioterios_,18/Nov/20,rebecca_jones,f,,08/Nov/60,6501,,phansen@hotmail.com
_universidad_de_palermo,licenciatura_en_artes,31/Dec/20,ryan_miller,m,,11/Jul/39,9111,,cherryjames@yahoo.com
_universidad_de_palermo,ingeniería_mecánica,01/Nov/20,samantha_acosta,f,,07/Dec/13,3151,,evanstroy@yahoo.com
_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,12/Dec/20,brian_alexander,m,,21/May/64,6465,,david51@gmail.com
_universidad_de_palermo,medicina,10/Jan/21,nicole_day,f,,03/Feb/87,7109,,harpersusan@hotmail.com
_universidad_de_palermo,contador_público_,29/Jan/21,holly_willis,f,,24/Apr/95,6053,,dunnjamie@gmail.com
_universidad_de_palermo,licenciatura_en_terapia_ocupacional,23/Sep/20,jeremy_burch,m,,28/Nov/19,8375,,davidnorton@hotmail.com
_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,05/Dec/20,michael_mcgrath,m,,02/Mar/91,8412,,bushdavid@hotmail.com
_universidad_de_palermo,diseño_industrial,22/Oct/20,kathy_torres,f,,16/Oct/88,6300,,ngarcia@hotmail.com
_universidad_de_palermo,arquitectura,18/Sep/20,catherine_davies,f,,20/Sep/25,4606,,robert01@yahoo.com
_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,07/Sep/20,nathan_mccoy,m,,05/Nov/91,3158,,gregory03@gmail.com
_universidad_de_palermo,ingeniería_electrónica,12/Oct/20,jordan_ramsey,f,,14/Jun/39,1617,,edgarjacobs@yahoo.com
_universidad_de_palermo,bioquímica,01/Oct/20,katie_gilmore,f,,03/Aug/78,4107,,peter15@yahoo.com
_universidad_de_palermo,licenciatura_en_artes,17/Dec/20,rachael_jackson,f,,23/May/12,2121,,zachary71@yahoo.com
_universidad_de_palermo,ciencias_veterinarias,12/Sep/20,steve_banks,m,,06/Dec/84,4119,,davidmartinez@gmail.com
_universidad_de_palermo,farmacia,27/Sep/20,jill_torres_dds,f,,08/Jun/18,7536,,nicole78@yahoo.com
_universidad_de_palermo,actuario_,24/Dec/20,robin_morris,f,,04/Jun/14,7535,,michaeljackson@hotmail.com
_universidad_de_palermo,farmacia,14/Nov/20,tracy_smith,f,,22/Dec/83,3386,,mcbridejonathan@gmail.com
_universidad_de_palermo,farmacia,06/Sep/20,mariah_green,f,,31/May/84,2342,,chavezlisa@gmail.com
_universidad_de_palermo,licenciatura_en_musicoterapia,22/Oct/20,paige_salazar,f,,19/May/18,8185,,andrew22@hotmail.com
_universidad_de_palermo,licenciatura_en_sociología_,26/Dec/20,jesse_taylor,m,,02/Jul/27,7114,,glasslisa@gmail.com
_universidad_de_palermo,licenciatura_en_musicoterapia,11/Dec/20,amber_mcdonald,f,,24/Mar/96,7530,,chamberskimberly@yahoo.com
