university,career,inscription_date,last_name,gender,birth_date,age,postal_code,location,email
universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/27,megan lopez,f,1967/03/11,,,arroyo de la ventana,reeddonald@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/11/01,corey alvarado,m,2011/03/17,,,aldecon,shawnhunt@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/24,jessica jordan,f,1945/09/07,,,campo yaguarete,daymatthew@gmail.com
universidad nacional de jujuy,contador público ,2020/11/23,heather williams,f,1933/02/14,,,bajo la cancha,travissutton@yahoo.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/09/22,jose jones,m,2004/03/29,,,amuschina,jennifer87@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/11/14,terry shelton,m,1926/01/22,,,colonia jauregui,kellerkristopher@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,brent murray,m,1937/09/20,,,barrio garin norte,elizabeth47@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/11/10,rebecca hart,f,2001/06/21,,,las hermanas,tammy58@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/29,joshua henderson,m,1911/12/18,,,anecon grande,tryan@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/07,jack shannon,m,1921/10/16,,,campo moreno,harrisalbert@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/09,vanessa martin,f,1949/04/06,,,ingeniero allan,matthew92@gmail.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021/01/30,tyler horne,m,1943/07/15,,,cañada,aaronlarsen@hotmail.com
universidad nacional de jujuy,ingeniería en informática,2021/01/07,robert brown,m,1959/02/08,,,villa angelica,cantuthomas@gmail.com
universidad nacional de jujuy,agronomía,2021/01/11,frank obrien,m,1924/11/29,,,barrio parque leloir,scurry@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/18,dr. stacie wilson,f,1974/07/24,,,la porteña,bryantsydney@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/09/19,kyle rose,m,1920/11/28,,,acostilla,agilbert@gmail.com
