university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/28,,jeffrey nash,m,1938/09/07,,,general rodriguez,bmorgan@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/11/25,,melissa reynolds,f,2004/04/15,,,cabure,jonathon04@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2021/01/17,,leonard weber,m,1936/02/05,,,mariano acosta,dmercado@yahoo.com
universidad tecnológica nacional,arquitectura,2020/10/09,,danny brown,m,1972/12/22,,,remedios de escalada,lisa01@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2020/11/05,,william williams,m,1940/08/12,,,agua salada,smithemma@gmail.com
universidad tecnológica nacional,licenciatura en sociología ,2020/10/08,,sierra dean,f,1977/01/09,,,colonia zapata,lhobbs@gmail.com
universidad tecnológica nacional,ingeniería electrónica,2020/09/30,,jeffrey martin,m,1983/05/29,,,barrio la union,steven54@hotmail.com
universidad tecnológica nacional,bioquímica,2020/11/05,,michael watkins,m,1956/10/15,,,bajo la cancha,michelle01@hotmail.com
universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/04,,douglas hogan,m,2008/07/29,,,puesto de isla,lynchalexis@gmail.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/09,,nicole giles,f,2004/06/29,,,otto bemberg,susanmatthews@hotmail.com
universidad tecnológica nacional,técnico para bioterios ,2020/10/03,,nicole carr,f,1909/10/08,,,el tala,robertburns@gmail.com
universidad tecnológica nacional,ingeniería en informática,2021/01/11,,sandra lucas,f,1931/07/07,,,puesto de isla,joshua77@yahoo.com
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/24,,nichole lee,f,1999/06/14,,,alto rio pico,jameswong@hotmail.com
universidad tecnológica nacional,farmacia,2020/09/11,,hunter murillo,m,1918/09/23,,,abra de hinojo,pauljamie@yahoo.com
universidad tecnológica nacional,bioquímica,2021/01/12,,jennifer allen,f,1909/10/20,,,arroyo aleli,deleontara@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/13,,debra dixon,f,1950/12/22,,,el jaguel,weaverroberto@yahoo.com
universidad tecnológica nacional,bioquímica,2020/11/24,,daniel pacheco,m,2011/08/03,,,deferrari,tiffanyfisher@gmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/03,,lucas villarreal,m,1931/11/22,,,barrio la luisa,joshua15@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,,linda bryant,f,1983/12/20,,,agua colorada,fwallace@hotmail.com
universidad tecnológica nacional,arquitectura,2020/11/13,,jennifer ellis,f,1996/06/17,,,gomez,bankschristopher@yahoo.com
universidad tecnológica nacional,licenciatura en administración ,2020/09/15,,jacob gibson,m,1939/12/15,,,chillar,beverlytucker@hotmail.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/10/04,,krystal sanders,f,1922/03/13,,,el camoati,guerratracy@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2021/01/06,,david harris,m,1961/02/25,,,desvio boero,charlotte54@hotmail.com
universidad tecnológica nacional,ciencias veterinarias,2020/09/26,,matthew dunn,m,1989/06/13,,,17 de agosto,rebecca25@gmail.com
universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/09,,thomas hernandez,m,2009/01/09,,,2 de mayo,dcooper@gmail.com
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/12/03,,deborah mclaughlin,f,1980/05/22,,,las quintas,wilsonerin@yahoo.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/12/29,,alexandria smith,f,2009/08/16,,,la colina,jamessilva@yahoo.com
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/12/29,,cassandra mora md,f,2018/09/04,,,empalme,qmclaughlin@hotmail.com
universidad tecnológica nacional,contador público ,2020/09/21,,stacey case,f,1959/02/02,,,alto nuestra señora del valle,greenhoward@hotmail.com
universidad tecnológica nacional,diseño industrial,2020/09/24,,jason roberts,m,1931/03/18,,,arroyo pareja,david84@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/23,,marie schwartz,f,1965/10/21,,,apeadero quiroga,mosleydavid@hotmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/12/24,,julie curtis,f,1945/04/20,,,alianza,ellisanthony@gmail.com
universidad tecnológica nacional,arquitectura,2020/12/24,,chelsea whitaker,f,2005/02/19,,,cañadon chileno,nicolegolden@hotmail.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/12/08,,julie herrera,f,2004/11/06,,,empalme san carlos,martincharles@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2020/09/02,,ryan bowen,m,1980/03/19,,,barrio carosio,tyrone84@hotmail.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/07,,mark hernandez,m,1953/09/22,,,nonogasta,pattersonstephanie@yahoo.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/06,,jessica richardson,f,1971/04/03,,,bajo de las palomas,hansondavid@gmail.com
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/24,,cameron lynch,m,1906/12/03,,,calderon,kentbrandon@hotmail.com
universidad tecnológica nacional,licenciatura en administración ,2020/09/09,,emily jones,f,1984/07/13,,,agua blanca,monicabeasley@yahoo.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/06,,julian green,m,2016/05/16,,,paso de los andes,sgentry@gmail.com
universidad tecnológica nacional,contador público ,2020/09/24,,dennis hurst,m,1952/07/04,,,colonia reina margarita,rebecca05@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/16,,chelsea white,f,1938/06/29,,,leubuco,tina40@gmail.com
universidad tecnológica nacional,arquitectura,2020/12/29,,antonio patel,m,1930/03/13,,,bosques,irodriguez@gmail.com
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/17,,tyler reed,m,1918/12/06,,,cuenca,xhernandez@hotmail.com
universidad tecnológica nacional,diseño de imagen y sonido,2020/10/21,,emily hall,f,1941/10/08,,,dina huapi,vicki56@yahoo.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/08,,javier cobb dvm,m,1912/07/28,,,alejandro petion,loriford@yahoo.com
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/08,,christina porter,f,1984/11/23,,,pozo navagan,meltonstephen@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,,jessica mccall,f,2014/05/31,,,chañarcito,brianrobinson@hotmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/24,,jared larson,m,1994/09/25,,,carbometal,taylor96@gmail.com
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,,darren lee md,m,1968/08/14,,,arroyo palmar,evanskatherine@yahoo.com
universidad tecnológica nacional,bioquímica,2020/10/28,,jay conway,m,1998/08/13,,,colonia la oracion,karenmendoza@yahoo.com
universidad tecnológica nacional,contador público ,2020/12/13,,jon gordon,m,1960/04/20,,,bajastine,agonzalez@yahoo.com
universidad tecnológica nacional,técnico para bioterios ,2020/10/03,,anthony johnson,m,1915/10/03,,,encina,eryan@hotmail.com
universidad tecnológica nacional,licenciatura en psicología,2020/09/11,,greg wells,m,1938/10/24,,,claudio c molina,trodriguez@hotmail.com
universidad tecnológica nacional,diseño de imagen y sonido,2020/09/29,,aaron vance,m,1927/11/02,,,campo medina,dnavarro@hotmail.com
universidad tecnológica nacional,ingeniería en informática,2021/01/16,,dale martinez,m,2005/08/11,,,13 de enero,pstanton@hotmail.com
