university,career,inscription_date,first_name,last_name,gender,age,birth_date,postal_code,location,email
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,21/Jan/08,Randy-williams,,M,,47/May/17,,Juan-maria-gutierrez,Joshua07@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Oct/04,Nichole-stanley,,F,,90/Feb/07,,El-rincon,Dbutler@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Oct/13,Christine-davis,,F,,10/Apr/26,,Agua-verde,Marvin72@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Nov/22,Kevin-weaver,,M,,60/Aug/22,,Capitan-lazo,Millererika@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,21/Jan/30,David-oliver,,M,,43/Feb/28,,Llavallol,Jorge05@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Oct/12,Alyssa-callahan,,F,,83/Nov/06,,Albigasta,Jodi34@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/13,Tracy-pope,,F,,42/Oct/18,,La-viticola,Jamesgentry@hotmail.com
-universidad-abierta-interamericana,Bioquímica,21/Jan/26,Shawn-fleming,,M,,73/Oct/03,,Cantera-aguirre,Betty11@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Sep/21,Brenda-santana,,F,,90/May/19,,25-de-mayo,James37@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/21,Tyrone-roberts,,M,,04/Jan/26,,Barra-bonita,Millerrandall@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/20,Brandon-carter,,M,,86/May/30,,Alcorta,Reedaustin@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/13,Henry-edwards,,M,,48/Nov/28,,El-sombrerito,Garyball@gmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/17,Donna-sparks,,F,,77/Feb/06,,Alto-del-puesto,Hrodriguez@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/12,Brandy-gibson,,F,,19/Mar/18,,Balsa,Erinjackson@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/04,Robert-price,,M,,99/Mar/13,,Cramer,Sheparddiane@hotmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Dec/14,Johnny-williams,,M,,65/Oct/19,,Capitan-castro,Andreaboyd@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Dec/11,Lisa-green,,F,,41/Aug/03,,El-durazno,Hudsonbrianna@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,21/Jan/24,David-chung,,M,,84/Sep/29,,Alarcon,Johnsonbrandon@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/30,Jennifer-ramirez,,F,,22/Jul/17,,Colonia-baron,Woodangelica@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Nov/28,Jose-white,,M,,58/Feb/10,,Planchada-banderita,Jenniferbrown@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Dec/29,Drew-espinoza,,M,,93/Jul/10,,Britos,Jmiller@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/01,Dale-smith,,M,,33/Mar/07,,Alumine,Michaeljohnson@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/10,Lynn-sharp,,F,,20/Oct/05,,Azul,Tamara73@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Oct/29,Julie-vargas,,F,,63/Dec/11,,Bathurst-estacion,Iochoa@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Sep/22,Benjamin-curry,,M,,05/May/20,,El-porvenir,Rebekah32@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/13,Rhonda-guerrero,,F,,21/Nov/28,,Estacion-yerua,Isabelwilliams@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/16,Katie-williams,,F,,94/Aug/18,,El-bombero,Michaelthomas@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Nov/23,Jennifer-king,,F,,17/Apr/04,,Campo-calvo,Daniel32@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/28,Cynthia-riley,,F,,53/Mar/23,,Masurel,Erica19@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/13,Mr.-daniel-knight,,M,,63/May/31,,Arroyo-balmaceda,Darrylhogan@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/15,Melanie-fox,,F,,61/Aug/22,,Colonia-duran,Hhays@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Dec/15,Brenda-schultz,,F,,44/May/26,,Calilegua,Gwhite@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/31,Christopher-smith,,M,,06/Jul/01,,La-dorita,Jgross@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Nov/06,Kathleen-lee,,F,,19/Sep/07,,Castilla,Linda06@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/09,Dale-rodriguez,,M,,14/Apr/29,,Colonia-el-aguara,Howellmichael@yahoo.com
-universidad-abierta-interamericana,Actuario-,20/Sep/16,Kristina-williams,,F,,23/Oct/25,,Ascencion,Stephanie11@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Oct/03,Steven-smith,,M,,49/Dec/07,,Ceres,Jose07@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/24,Angela-davis,,F,,78/Jun/24,,Villa-santos-tesei,Terrimadden@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/02,Tracy-mclean,,F,,91/Mar/01,,Alabama,Brownjames@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/05,Edgar-leach,,M,,96/Nov/29,,Agua-de-castilla,Michael26@gmail.com
-universidad-abierta-interamericana,Bioquímica,20/Dec/16,Katherine-vega,,F,,57/Aug/13,,El-lenguaraz,Sarah28@yahoo.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Dec/20,Joshua-wheeler,,M,,76/Dec/12,,Berabevu,Fgarza@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/23,Stephanie-johnson,,F,,23/Jul/12,,Igarzabal,Hilldanielle@yahoo.com
