university,career,inscription_date,last_name,gender,age,birth_date,postal_code,location,email
Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,20/Jul/20,Joann-good,F,,01/Jun/06,,Albardon,Gonzalezbrenda@yahoo.com
Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,19/Nov/20,Debbie-pitts,F,,89/Mar/20,,Calera-la-norma,Bacosta@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Jan/20,Colleen-williams,F,,09/Oct/08,,Arroyo-grande,Margaretowen@gmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-en-informática,21/Jan/20,Johnny-hull,M,,83/Mar/30,,Alcaraz-norte,Ehale@gmail.com
Universidad-nacional-de-río-cuarto,Actuario-,19/Dec/20,Brandi-gibson,F,,86/Dec/29,,Enrique-fynn,Nellison@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-musicoterapia,21/Apr/20,Danielle-smith,F,,53/May/13,,Carapachay,Craig22@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,21/Dec/20,Jesse-sims,M,,13/Dec/10,,San-marcelo,Rebeccakramer@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Jul/20,Kristi-roberts,F,,97/Jan/28,,Cara-mala,Gregorymurphy@hotmail.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,21/Feb/20,William-white,M,,66/Jul/04,,Cerro-de-la-gloria-canal-15,Charles27@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-antropológicas,20/May/20,Ashley-alvarez,F,,11/Apr/08,,Campo-moreno,Glenn38@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Oct/20,James-andersen,M,,97/May/18,,Alamos,Rachelcobb@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Aug/20,Felicia-jordan,F,,25/Jun/22,,Agua-rica,Jameswright@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,21/Aug/20,Jamie-moore,F,,09/Dec/31,,Diamante,Carpenterrebecca@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Apr/20,Paul-cox,M,,26/Mar/19,,Funke,Erin08@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-ambientales,21/Oct/20,Matthew-koch,M,,09/Nov/08,,30-de-agosto,Danielmichelle@hotmail.com
Universidad-nacional-de-río-cuarto,Diseño-industrial,21/May/20,Tracey-bell,F,,18/Jun/02,,Isla-los-laureles,Marygallegos@yahoo.com
Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,20/Nov/20,Mary-hernandez,F,,87/Oct/13,,Campo-garabato,Gsalas@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,20/Aug/20,Corey-smith,M,,28/Mar/20,,Antonio-tomas,Jessicasullivan@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,21/Nov/20,Karen-lewis,F,,49/Dec/29,,Cooper,Mirandadaniel@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-psicología,19/Nov/20,Brian-lawrence,M,,43/Mar/05,,El-trio,Thomascochran@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-ambientales,21/Apr/20,Regina-thornton,F,,53/May/04,,Diego-lopez,Crystaldavis@yahoo.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,20/Jan/20,Richard-thompson,M,,00/Dec/06,,Desvio-kilometro-55,Maria39@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Aug/20,Jessica-turner,F,,53/Oct/06,,Abra-mayo,Urodriguez@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-psicología,20/Feb/20,Kevin-graham,M,,12/Dec/23,,Aristia,Debbie50@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-geológicas,19/Dec/20,Timothy-smith,M,,09/Jan/13,,Capilla-del-señor,Maria98@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-antropológicas,20/Jul/20,Kevin-bryan,M,,51/Jul/07,,Camino-centenario-km-11500,Louisturner@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,21/Apr/20,Jeremy-tucker,M,,31/Oct/03,,Aldecon,Gstark@gmail.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,20/Oct/20,Marcus-kidd,M,,89/Sep/03,,Kilometro-408,Stephenkelley@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-y-tecnología-de-alimentos,21/May/20,Jonathan-roberts,M,,85/Dec/01,,Coronel-isleños,Andrew27@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,21/Jun/20,Vincent-hart,M,,16/Aug/29,,Cascada-los-cantaros,Martinezjordan@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-política-,20/Feb/20,Christian-wade,M,,51/Apr/27,,Dolores,Meghan37@gmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-en-informática,20/Sep/20,Corey-parks,M,,50/Jul/22,,Ingeniero-allan,Fochoa@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,21/May/20,Jared-wang,M,,20/Aug/10,,Berduc,Marie79@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-musicoterapia,21/Nov/20,Jose-rogers,M,,71/Jul/31,,El-talar,Alyssamelton@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,20/Apr/20,Stanley-reed,M,,59/Jun/16,,Cupiles,Qwest@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,21/Mar/20,Andrew-christian,M,,80/Aug/09,,Balneario-los-angeles,Kmack@hotmail.com
Universidad-nacional-de-río-cuarto,Farmacia,20/Jan/20,Ashley-wilson,F,,91/Jan/21,,Barrio-don-santiago,Bsimon@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-y-tecnología-de-alimentos,21/Aug/20,Amy-miller,F,,58/Jan/28,,Capitan-solari,Cwaller@gmail.com
Universidad-nacional-de-río-cuarto,Bioquímica,20/Jun/20,Michael-ochoa,M,,85/Mar/07,,Colonia-jauregui,Toddyoung@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,21/Jan/20,Elizabeth-rowland,F,,50/Mar/18,,Caspinchango,Sean73@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-musicoterapia,20/Apr/20,David-guzman,M,,03/Sep/10,,Colonia-zambungo,Kellykimberly@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-administración-,21/Nov/20,Stephen-coleman,M,,80/Feb/10,,Buen-pasto,Andersonsteven@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,19/Oct/20,Austin-fernandez,M,,60/Feb/13,,Abra-guazu,April34@gmail.com
Universidad-nacional-de-río-cuarto,Arquitectura,21/Nov/20,Catherine-anderson,F,,54/Nov/03,,Santa-teresita,Tracyzavala@yahoo.com
Universidad-nacional-de-río-cuarto,Arquitectura,19/Dec/20,Andrew-villegas,M,,21/Sep/18,,Bombal,Smithmichael@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-ambientales,19/Oct/20,Gregory-walsh,M,,08/Sep/05,,Adan-quiroga,Bartlettkelsey@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-musicoterapia,21/Aug/20,Casey-franklin,M,,55/Sep/25,,Carmen-de-areco,Parksamy@gmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,21/Apr/20,Jennifer-chapman,F,,03/Feb/13,,Cantera-villalonga,Alec96@hotmail.com
Universidad-nacional-de-río-cuarto,Actuario-,20/May/20,Matthew-fox,M,,27/Dec/09,,Alongo,Kimjennifer@yahoo.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,21/Mar/20,Denise-wilson,F,,48/Oct/28,,Colonia-campo-piaggio,Smithsamuel@gmail.com
Universidad-nacional-de-río-cuarto,Agronomía,20/Jan/20,Cheryl-rodriguez,F,,11/Apr/05,,Arroyo-seco,John18@hotmail.com
Universidad-nacional-de-río-cuarto,Agronomía,19/Oct/20,Chad-wilson,M,,35/Dec/10,,Hurlingham,Robertjimenez@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,20/Jan/20,Kevin-green,M,,54/May/28,,Chivilcoy,Smithkayla@gmail.com
Universidad-nacional-de-río-cuarto,Contador-público-,21/May/20,Mindy-young,F,,47/Aug/02,,Abbott,Diazrebecca@hotmail.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,20/May/20,John-allen,M,,58/May/20,,Colonia-centenario,Qgilmore@yahoo.com
Universidad-nacional-de-río-cuarto,Contador-público-,20/Dec/20,Brian-shannon,M,,29/Feb/02,,Gandolfi,Hernandezregina@hotmail.com
Universidad-nacional-de-río-cuarto,Medicina,21/Jul/20,Samuel-lewis,M,,96/May/23,,Algarrobo,Mary50@yahoo.com
Universidad-nacional-de-río-cuarto,Ingeniería-mecánica,20/Mar/20,Samuel-phillips,M,,45/Nov/18,,Costa-del-este,Tracy66@yahoo.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,21/Feb/20,Stacy-gallagher,F,,85/Nov/17,,Francisco-paz,Nelsonchristine@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,20/Mar/20,Christopher-anderson,M,,17/Nov/30,,Chelforo,Lsanchez@yahoo.com
Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,21/May/20,Melanie-sanders,F,,34/Oct/23,,Cespedes,Coxstephen@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,21/Jul/20,Matthew-clarke,M,,28/Feb/22,,Adela-corti,Philip65@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-y-tecnología-de-alimentos,21/Feb/20,Lauren-levine,F,,36/Nov/25,,Caichue,Frios@gmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-en-informática,21/Nov/20,Rodney-lopez,M,,12/Jul/18,,Colonia-mendez-bar,Santiagonicole@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,21/May/20,Rachel-gutierrez,F,,07/Feb/03,,Buena-esperanza,Stokesjason@hotmail.com
Universidad-nacional-de-río-cuarto,Agronomía,20/Feb/20,Sherry-foster,F,,01/Dec/10,,Lomas-del-rio-lujan,Charlesmeadows@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-antropológicas,21/Apr/20,Kathryn-edwards,F,,42/Apr/05,,Avanzada,Jamie72@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-psicología,20/Feb/20,Angela-kline,F,,57/Jan/28,,Bajo-de-raco,Riceryan@hotmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,21/Jul/20,Angie-moreno,F,,93/Nov/14,,Las-toninas,Lli@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,21/May/20,Kathleen-thomas,F,,55/Oct/18,,Ceres,Deanlisa@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,20/Oct/20,Alexander-kaiser,M,,89/Apr/19,,San-andres,Tyler73@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-antropológicas,21/Mar/20,Terri-owen,F,,72/Nov/20,,Domselaar,Leonardjones@gmail.com
Universidad-nacional-de-río-cuarto,Bioquímica,21/Apr/20,Jason-herrera,M,,02/Oct/13,,Arroyo-aleli,Wchen@hotmail.com
Universidad-nacional-de-río-cuarto,Técnico-para-bioterios-,20/Dec/20,John-thompson-dds,M,,68/Jul/25,,Caraguatay,Ericamoore@gmail.com
Universidad-nacional-de-río-cuarto,Actuario-,21/Dec/20,Tammy-brennan,F,,80/Jan/02,,Aldea-brasilera,Ypowell@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Jan/20,Elizabeth-glover,F,,08/Aug/25,,Banda-varela,Davisamy@yahoo.com
Universidad-nacional-de-río-cuarto,Arquitectura,19/Oct/20,Tracy-mcintosh,F,,93/Sep/13,,Capdepont,Scottvazquez@hotmail.com
Universidad-nacional-de-río-cuarto,Farmacia,20/Feb/20,Frederick-johnston,M,,14/Dec/22,,Abra-de-hinojo,Brownsierra@hotmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,19/Nov/20,William-page,M,,45/Oct/23,,Avestruz,Wiselaura@gmail.com
Universidad-nacional-de-río-cuarto,Agronomía,20/Apr/20,Richard-kelley,M,,39/Sep/07,,Arroyo-casco,Davisalbert@gmail.com
Universidad-nacional-de-río-cuarto,Ingeniería-mecánica,21/Apr/20,Erica-abbott,F,,38/Nov/13,,Arroyo-del-pescado,Talvarado@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-ambientales,21/Jul/20,Karen-kemp,F,,97/Aug/18,,Mecha,Aprilfernandez@yahoo.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,19/Dec/20,Jordan-roberts,M,,47/Mar/08,,Kilometro-408,Njackson@gmail.com
Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-computación,20/Sep/20,Dr.-alexis-hess,F,,05/Sep/23,,America-unida,Jessica60@yahoo.com
Universidad-nacional-de-río-cuarto,Actuario-,21/Aug/20,James-rogers,M,,80/Jun/12,,Sey,Bowmanchristina@yahoo.com
Universidad-nacional-de-río-cuarto,Bioquímica,20/Jul/20,Chris-vance,M,,69/May/23,,Colman,Zbrennan@yahoo.com
