university,career,last_name,gender,birthdate,age,postal_code,location,email,inscription_date
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FURNITURE-CONSERVATOR/RESTORER,PHILIP-CORTEZ,M,20-12-1922,,,BELLA-VISTA,ASHLEY17@GMAIL.COM,2020-10-02
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,THEATRE-STAGE-MANAGER,TIMOTHY-OLSON,M,24-08-1916,,,BARKER,CONNIE29@HOTMAIL.COM,2020-11-30
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TRADE-UNION-RESEARCH-OFFICER,JORDAN-POOLE,M,29-08-1969,,,CAMPO-PALETTA,LUKEGARCIA@YAHOO.COM,2020-04-14
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CALL-CENTRE-MANAGER,ASHLEY-YU,F,22-07-1981,,,LA-TRANCA,JOSHUA78@GMAIL.COM,2020-08-08
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,RADIATION-PROTECTION-PRACTITIONER,MRS.-CYNTHIA-WEEKS,F,01-01-1967,,,EL-RINCON,WKELLY@GMAIL.COM,2020-02-15
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MULTIMEDIA-PROGRAMMER,JESSICA-BAKER,F,20-06-1910,,,COLONIA-CUNCI,WWILLIAMS@GMAIL.COM,2020-01-16
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,"DOCTOR,-HOSPITAL",MELISSA-HENDRIX,F,16-12-2012,,,ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM,2020-10-16
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FURNITURE-DESIGNER,KAYLA-NELSON,F,17-12-1929,,,DESVIO-KILOMETRO-55,EVEGA@HOTMAIL.COM,2020-01-12
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ADMINISTRATOR,DANIELLE-WATSON,F,02-09-1965,,,ACEVEDO,RUSSELLGINA@GMAIL.COM,2020-12-01
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,"SALES-PROFESSIONAL,-IT",RACHEL-JACKSON,F,06-02-1950,,,ARROYO-CASCO,STEPHANIEROBERTSON@GMAIL.COM,2020-01-14
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LAND/GEOMATICS-SURVEYOR,MARIAH-JONES,F,11-08-1997,,,ESMERALDA,HUBBARDJOHN@GMAIL.COM,2020-02-13
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TRADE-UNION-RESEARCH-OFFICER,GEORGE-NEWMAN,M,16-12-2013,,,ABRALAITE,LSMITH@GMAIL.COM,2020-10-22
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MEDICAL-ILLUSTRATOR,JESSICA-YOUNG,F,28-07-1919,,,BERRAONDO,BISHOPTHOMAS@YAHOO.COM,2020-08-25
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,SPORTS-COACH,KELLY-BARNETT,F,13-12-1951,,,ALDAO,ROBERTHOLMES@HOTMAIL.COM,2020-11-16
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TOXICOLOGIST,RANDALL-PITTS,M,21-04-1924,,,ALDO-BONZI,LISAJENKINS@HOTMAIL.COM,2020-07-20
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MANUFACTURING-ENGINEER,TODD-CARLSON,M,13-04-1923,,,BALSA-SENILLOSA,CYNTHIAYU@GMAIL.COM,2020-03-03
