university,career,last_name,gender,birthdate,age,postal_code,location,email,inscription_date
universidad-j.-f.-kennedy,automotive-engineer,nancy-underwood,f,76-May-26,,4139,,mcdonaldjulia@yahoo.com,2021-01-19
universidad-j.-f.-kennedy,"scientist,-water-quality",james-kelly,m,68-Nov-12,,3176,,contrerasstephen@yahoo.com,2020-10-15
universidad-j.-f.-kennedy,solicitor,jaime-crawford,f,76-Oct-20,,7612,,martin59@yahoo.com,2021-01-22
universidad-j.-f.-kennedy,actuary,matthew-ballard,m,19-Jan-28,,7401,,jamesguerra@yahoo.com,2020-10-06
universidad-j.-f.-kennedy,leisure-centre-manager,tiffany-harris,f,50-Aug-25,,5471,,simmonsderek@yahoo.com,2020-10-19
universidad-j.-f.-kennedy,"teacher,-music",antonio-turner,m,94-May-28,,4164,,burgesskathy@yahoo.com,2021-01-07
universidad-j.-f.-kennedy,"accountant,-chartered-public-finance",holly-miller,f,93-Aug-03,,3083,,ggraves@yahoo.com,2020-12-27
universidad-j.-f.-kennedy,trade-mark-attorney,andrew-lee,m,55-Apr-23,,4751,,haley06@hotmail.com,2020-09-08
universidad-j.-f.-kennedy,air-broker,melanie-parks,f,07-Oct-01,,2506,,mgarza@yahoo.com,2021-01-15
universidad-j.-f.-kennedy,theatre-manager,aaron-brown,m,09-Aug-14,,3418,,richard88@yahoo.com,2020-09-14
universidad-j.-f.-kennedy,comptroller,terry-mooney,m,21-Jun-15,,2801,,joshua50@hotmail.com,2020-09-20
universidad-j.-f.-kennedy,television/film/video-producer,john-cantu,m,30-Dec-15,,3283,,ashleylin@hotmail.com,2021-01-15
universidad-j.-f.-kennedy,television/film/video-producer,joseph-callahan,m,57-Aug-29,,6220,,ronaldgonzales@gmail.com,2020-10-02
universidad-j.-f.-kennedy,charity-officer,linda-sexton,f,54-Dec-08,,3340,,kgardner@yahoo.com,2020-10-31
universidad-j.-f.-kennedy,operational-investment-banker,john-cantu-phd,m,92-Mar-25,,6660,,hcrawford@gmail.com,2020-12-06
universidad-j.-f.-kennedy,occupational-hygienist,deborah-green,f,97-Jun-18,,8214,,linda47@yahoo.com,2020-12-28
universidad-j.-f.-kennedy,"engineer,-land",jeremy-evans,m,44-Mar-25,,3087,,noah83@hotmail.com,2020-11-07
universidad-j.-f.-kennedy,"surveyor,-hydrographic",adam-williams,m,10-Dec-07,,3454,,jackie04@gmail.com,2020-10-08
universidad-j.-f.-kennedy,optometrist,dawn-fleming,f,32-Aug-03,,3641,,craigarmstrong@gmail.com,2020-10-21
universidad-j.-f.-kennedy,historic-buildings-inspector/conservation-officer,nicole-palmer,f,10-Apr-18,,6221,,psantana@gmail.com,2021-01-12
universidad-j.-f.-kennedy,diagnostic-radiographer,robert-stafford-md,m,53-Nov-09,,1605,,egarcia@gmail.com,2020-09-15
universidad-j.-f.-kennedy,information-officer,jack-schwartz,m,36-Feb-12,,2456,,elizabethalexander@gmail.com,2020-11-07
universidad-j.-f.-kennedy,garment/textile-technologist,nathaniel-garcia,m,03-Oct-09,,2848,,candacerichardson@yahoo.com,2021-01-03
universidad-j.-f.-kennedy,"surveyor,-commercial/residential",ashley-dean,f,19-Jun-23,,1682,,wileywilliam@hotmail.com,2020-10-25
universidad-j.-f.-kennedy,occupational-therapist,michelle-bass,f,53-Sep-25,,4105,,wgeorge@hotmail.com,2020-09-18
universidad-j.-f.-kennedy,ophthalmologist,randy-bright,m,78-Mar-02,,8520,,terrilewis@hotmail.com,2021-01-25
universidad-j.-f.-kennedy,"buyer,-industrial",joseph-wells,m,43-Sep-18,,1838,,xcampbell@yahoo.com,2020-09-30
universidad-j.-f.-kennedy,art-therapist,steven-oneill,m,96-Dec-21,,5313,,kirbymatthew@hotmail.com,2020-09-27
universidad-j.-f.-kennedy,ergonomist,jane-brewer,f,20-Mar-16,,5575,,jeremy05@yahoo.com,2020-12-20
universidad-j.-f.-kennedy,speech-and-language-therapist,michael-klein,m,03-Dec-22,,3263,,morrisanna@yahoo.com,2020-10-18
universidad-j.-f.-kennedy,prison-officer,vincent-king,m,67-May-19,,2821,,rebeccawilliams@gmail.com,2020-10-20
universidad-j.-f.-kennedy,media-planner,wesley-kelly,m,61-Oct-14,,5563,,xchavez@hotmail.com,2020-09-27
universidad-j.-f.-kennedy,trade-union-research-officer,jennifer-baker,f,41-Apr-06,,6555,,wolfenathaniel@gmail.com,2020-11-24
universidad-j.-f.-kennedy,"scientist,-water-quality",bryan-bryant,m,70-Jul-30,,1917,,jenna23@gmail.com,2020-11-30
universidad-j.-f.-kennedy,broadcast-engineer,adam-juarez,m,98-Mar-27,,5519,,harryparks@gmail.com,2021-01-18
universidad-j.-f.-kennedy,contracting-civil-engineer,justin-young,m,01-Jan-23,,6559,,zarmstrong@gmail.com,2020-12-25
universidad-j.-f.-kennedy,textile-designer,michael-barker,m,78-Jun-18,,6712,,karen06@gmail.com,2020-09-18
universidad-j.-f.-kennedy,"doctor,-general-practice",mike-roth,m,45-Apr-04,,6065,,qwright@hotmail.com,2021-01-24
universidad-j.-f.-kennedy,mental-health-nurse,christopher-williams,m,82-Jun-08,,6013,,robertgarcia@hotmail.com,2020-12-15
universidad-j.-f.-kennedy,dancer,seth-moore,m,15-Sep-25,,1846,,johnsondavid@gmail.com,2020-10-13
universidad-j.-f.-kennedy,barista,tracy-collins,f,30-Aug-17,,5509,,garciajoseph@hotmail.com,2020-10-08
universidad-j.-f.-kennedy,banker,aaron-gallagher,m,99-Feb-14,,1686,,wjohnson@yahoo.com,2020-11-16
universidad-j.-f.-kennedy,"designer,-blown-glass/stained-glass",kristen-adkins,f,80-Dec-28,,8315,,munozisabella@hotmail.com,2021-02-01
universidad-j.-f.-kennedy,"lecturer,-higher-education",janet-dennis,f,93-Aug-10,,4139,,amber49@yahoo.com,2020-12-29
universidad-j.-f.-kennedy,legal-executive,anne-rogers,f,42-Jan-31,,6000,,philipcantu@hotmail.com,2020-10-23
universidad-j.-f.-kennedy,"lecturer,-higher-education",terry-kelley,m,45-Dec-17,,1770,,wayne71@yahoo.com,2021-01-18
universidad-j.-f.-kennedy,insurance-underwriter,susan-alexander,f,19-May-18,,1712,,heidi91@gmail.com,2021-01-25
universidad-j.-f.-kennedy,acupuncturist,raymond-lee,m,07-Jun-08,,3074,,williamryan@gmail.com,2020-12-28
universidad-j.-f.-kennedy,clothing/textile-technologist,russell-colon,m,81-Dec-30,,4724,,acuevas@gmail.com,2020-11-15
universidad-j.-f.-kennedy,stage-manager,sean-wright,m,82-Nov-17,,7201,,corysmith@hotmail.com,2020-11-12
universidad-j.-f.-kennedy,copy,chelsea-thomas,f,95-Mar-03,,1771,,uhardy@hotmail.com,2020-09-28
universidad-j.-f.-kennedy,chemical-engineer,amy-torres,f,20-Jun-21,,1804,,alexander88@gmail.com,2020-11-12
universidad-j.-f.-kennedy,applications-developer,leah-watkins,f,29-Feb-10,,8142,,leemelissa@gmail.com,2020-12-01
universidad-j.-f.-kennedy,"scientist,-research-(maths)",deborah-harper,f,50-Jun-21,,3534,,kelsey05@gmail.com,2020-11-24
universidad-j.-f.-kennedy,"psychologist,-counselling",edgar-graham,m,05-Nov-07,,3561,,monicalamb@hotmail.com,2021-01-10
universidad-j.-f.-kennedy,hospital-doctor,maria-elliott,f,03-Oct-20,,5881,,ryan91@yahoo.com,2020-09-27
universidad-j.-f.-kennedy,"designer,-fashion/clothing",henry-palmer,m,67-Feb-21,,2846,,samuel00@yahoo.com,2020-09-15
universidad-j.-f.-kennedy,hydrographic-surveyor,rebecca-mckenzie,f,60-Jul-21,,6550,,whitneylauren@gmail.com,2020-11-02
universidad-j.-f.-kennedy,commercial-horticulturist,pamela-mcfarland,f,14-Nov-02,,9113,,carol67@yahoo.com,2020-10-29
universidad-j.-f.-kennedy,sport-and-exercise-psychologist,leslie-freeman,f,03-Feb-04,,6335,,uhumphrey@gmail.com,2020-12-26
universidad-j.-f.-kennedy,chief-of-staff,luis-underwood,m,00-Nov-06,,5411,,brewerteresa@gmail.com,2020-11-04
universidad-j.-f.-kennedy,"surveyor,-mining",frank-davidson,m,76-Nov-15,,2132,,uadams@gmail.com,2020-11-23
universidad-j.-f.-kennedy,information-officer,kimberly-blair,f,14-May-13,,5329,,dgross@gmail.com,2020-09-24
universidad-j.-f.-kennedy,armed-forces-technical-officer,anna-sanders,f,21-Aug-06,,5573,,pagenatalie@yahoo.com,2021-01-26
