university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
universidad-de-buenos-aires,actuario-,20-Sep-24,null,amy-wallace,f,2021-03-12,null,8431,"4440-edward-junctions-apt.-088
east-brian,-ar-23045",brookejones@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Sep-27,null,angela-hudson,f,2005-02-21,null,3151,"8672-rasmussen-way
leviville,-id-98957",cpatterson@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-18,null,jessica-sandoval,f,2045-09-12,null,6601,"4934-robyn-burg
lake-sandy,-al-36317",melinda04@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-20,null,david-cooper,m,2029-08-01,null,6105,"8086-davenport-flat-suite-093
port-robertview,-ky-35162",lukegutierrez@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-12,null,benjamin-nicholson,m,2068-06-05,null,5345,"3986-reynolds-lodge-suite-625
north-christopher,-me-06591",bgonzalez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Dec-04,null,douglas-boyer,m,2013-05-09,null,3580,"3370-richardson-forge-apt.-577
greenechester,-ma-65283",taylor62@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Sep-18,null,kenneth-wright,m,2049-08-12,null,7172,"640-ramos-vista-suite-029
north-virginia,-wa-44218",butlermartha@gmail.com
universidad-de-buenos-aires,técnico-para-bioterios-,21-Jan-28,null,heather-bradford,f,2017-11-02,null,6422,"6017-anna-trail
south-mary,-ma-58614",nicole86@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,21-Jan-27,null,mary-smith,f,1989-09-13,null,8113,"717-henry-land-apt.-299
floreston,-wi-42607",margaret65@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Nov-04,null,pamela-delgado,f,1988-09-17,null,5557,"91379-jerry-cove
south-ryan,-mo-89223",stefanie45@hotmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-24,null,paul-myers,m,2023-11-14,null,5407,"57252-cummings-wells
new-benjamin,-nv-04671",ypayne@yahoo.com
universidad-de-buenos-aires,medicina,21-Jan-15,null,amy-hurst,f,1980-12-29,null,4129,"236-tina-plains-apt.-897
north-candice,-mo-24063",akeller@gmail.com
universidad-de-buenos-aires,medicina,20-Oct-24,null,jessica-davis,f,2009-12-30,null,4124,"242-green-pike
wallaceshire,-ky-69556",barbaranash@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,21-Jan-04,null,kimberly-banks,f,1993-08-15,null,5591,"380-vaughan-oval-suite-814
north-albertport,-ut-82402",timothyfoster@gmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Nov-02,null,stephanie-gates,f,2044-08-17,null,6433,"850-jenna-heights
new-crystal,-co-19557",carlashepherd@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-16,null,daniel-harrell,m,2058-11-10,null,8308,"00962-rogers-neck
masonfort,-pa-53085",lvelasquez@gmail.com
universidad-de-buenos-aires,contador-público-,20-Nov-13,null,justin-gonzalez,m,1974-11-04,null,5541,"97832-jacob-street
west-carolynland,-il-08714",oconnorbrenda@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Nov-25,null,ethan-pierce,m,2048-02-11,null,7161,"unit-8687-box-3328
dpo-aa-81289",reynoldsmegan@yahoo.com
universidad-de-buenos-aires,medicina,20-Dec-24,null,cody-robbins,m,2011-01-01,null,6634,"unit-0349-box-5655
dpo-aa-61033",hjackson@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Dec-15,null,justin-lewis,m,1974-10-08,null,3196,"63076-taylor-court
samanthaburgh,-wa-54667",gjensen@hotmail.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Dec-11,null,chelsea-bond,f,1996-10-24,null,1614,"916-smith-crossroad-suite-741
butlerfurt,-or-87341",quinnlonnie@gmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Nov-10,null,michelle-mccullough,f,2024-06-22,null,3155,"56795-james-mountain-suite-176
rogerfurt,-ia-05645",jennifer34@yahoo.com
universidad-de-buenos-aires,bioquímica,20-Nov-01,null,scott-cox,m,2021-10-15,null,1636,"psc-0074,-box-0862
apo-aa-98962",james05@hotmail.com
universidad-de-buenos-aires,farmacia,20-Sep-19,null,michael-smith,m,1997-02-15,null,1754,"5986-rogers-tunnel-suite-132
new-tracychester,-me-67245",alexandertiffany@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,21-Jan-26,null,brittney-smith,f,2068-07-23,null,3226,"4697-wesley-harbors-apt.-007
east-seanborough,-sc-40404",anne23@yahoo.com
universidad-de-buenos-aires,ingeniería-en-informática,20-Sep-03,null,ronald-martin-md,m,2035-06-22,null,7533,"361-brendan-lakes
brandonchester,-ne-89068",fgriffin@yahoo.com
