university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,2020-05-27,null,DANIELLE-GONZALEZ,F,07-07-2005,null,null,COLONIA-BARGA,MEADOWSSTEPHANIE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,2020-07-02,null,MARY-YANG,F,29-08-1985,null,null,ARBOL-SOLO,LAURA01@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,2020-12-31,null,STACEY-MEDINA,F,07-04-1959,null,null,ALDEA-BELEIRO,SARAHPHAM@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,2020-10-29,null,KATHRYN-NICHOLS,F,22-12-2008,null,null,COLONIA-BARGA,CHRISTOPHERANDERSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,2020-05-10,null,BOB-SIMPSON,M,20-02-1976,null,null,BERMUDEZ,CPARKER@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2021-01-01,null,ERIC-KANE,M,24-02-2009,null,null,SAN-JUSTO,JAMES27@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,2020-01-17,null,DEBRA-LAMBERT,F,25-02-1951,null,null,ADAN-QUIROGA,JOHN49@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,2020-06-05,null,MARK-BASS,M,27-08-1955,null,null,CHAPUY,ROBERT74@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,2020-07-24,null,SAVANNAH-BAILEY-MD,F,10-06-2013,null,null,BAHIA-SAN-BLAS,ERINWRIGHT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,2020-06-28,null,DOMINIQUE-ALLEN-DDS,F,28-10-1957,null,null,VILLA-RAFFO,MARTINHOLT@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2020-07-13,null,CATHY-JENSEN,F,27-09-1963,null,null,SAN-FERNANDO,FMENDEZ@YAHOO.COM
